inbound_date,supplier_id,delivery_note_id,product_id,received_qty,rejected_qty,inbound_status,rejected_reason,unloading_started_time,unloading_completed_time,inbound_putaway_completed_time
2024-02-25,SUP033,515106,975738,1684,0,Accepted,,09:09:00,11:22:00,11:39:00
2024-11-05,SUP099,397502,882856,567,0,Accepted,,10:11:00,12:35:00,13:15:00
2022-09-25,SUP000,691075,841597,710,0,Accepted,,13:14:00,15:17:00,15:54:00
2024-03-26,SUP030,378744,404670,2119,0,Accepted,,11:25:00,14:22:00,14:46:00
2024-08-01,SUP064,644418,810523,123,0,Accepted,,10:29:00,12:06:00,12:23:00
2024-06-28,SUP094,855526,861337,1566,0,Accepted,,13:20:00,15:43:00,16:28:00
2024-05-09,SUP091,270090,996481,1216,0,Accepted,,10:46:00,12:25:00,12:50:00
2024-11-15,SUP032,891077,925426,2370,0,Accepted,,14:04:00,16:18:00,16:28:00
2023-01-07,SUP051,186611,495196,715,0,Accepted,,09:41:00,12:23:00,12:55:00
2022-01-22,SUP003,631246,390134,981,0,Accepted,,11:16:00,12:59:00,13:14:00
2024-02-02,SUP043,553862,465843,2278,0,Accepted,,13:30:00,14:49:00,15:21:00
2022-10-23,SUP028,456210,969212,251,0,Accepted,,10:40:00,12:52:00,13:27:00
2023-03-08,SUP090,579137,944462,2402,0,Accepted,,11:00:00,13:11:00,13:43:00
2022-10-30,SUP097,553862,465843,2199,0,Accepted,,11:48:00,13:39:00,13:59:00
2024-01-16,SUP086,384933,112302,1842,0,Accepted,,14:15:00,16:05:00,16:35:00
2022-09-01,SUP005,310583,332104,2033,0,Accepted,,10:29:00,12:31:00,12:48:00
2022-03-17,SUP097,665442,173408,1643,24,Rejected,Quality Issue,12:18:00,15:18:00,15:51:00
2023-03-27,SUP062,493628,150615,165,0,Accepted,,10:30:00,12:35:00,13:11:00
2024-05-13,SUP032,470963,935509,1454,0,Accepted,,09:41:00,11:45:00,12:29:00
2023-10-20,SUP082,413485,319881,291,0,Accepted,,13:56:00,16:05:00,16:22:00
2023-10-17,SUP006,422159,748776,1787,0,Accepted,,09:37:00,11:44:00,12:03:00
2022-03-27,SUP051,748400,645351,758,0,Accepted,,09:59:00,11:24:00,11:51:00
2022-05-31,SUP098,314447,828707,293,0,Accepted,,10:07:00,11:51:00,12:11:00
2024-09-12,SUP088,185951,608301,1095,0,Accepted,,11:19:00,13:52:00,14:25:00
2023-12-14,SUP044,112424,690495,1557,0,Accepted,,10:11:00,12:57:00,13:41:00
2024-08-09,SUP085,316147,545753,589,0,Accepted,,10:15:00,12:17:00,12:40:00
2022-08-12,SUP073,657826,546568,1158,0,Accepted,,12:42:00,14:51:00,15:13:00
2022-10-16,SUP018,243110,203294,1705,0,Accepted,,14:28:00,16:57:00,17:17:00
2024-05-11,SUP008,338152,421354,1506,0,Accepted,,09:05:00,10:31:00,10:57:00
2024-07-01,SUP005,254751,738343,1526,0,Accepted,,10:23:00,13:19:00,13:31:00
2022-11-30,SUP028,202246,568882,872,0,Accepted,,12:09:00,14:22:00,15:07:00
2023-12-08,SUP037,243980,574159,2022,0,Accepted,,14:28:00,16:22:00,16:35:00
2024-02-04,SUP041,739708,553150,1022,0,Accepted,,14:03:00,16:43:00,17:17:00
2024-02-07,SUP000,198943,596220,1644,0,Accepted,,09:38:00,12:15:00,12:55:00
2023-09-14,SUP093,733477,567970,1939,0,Accepted,,13:57:00,16:43:00,17:03:00
2022-09-10,SUP022,339336,862288,431,0,Accepted,,13:35:00,15:18:00,15:39:00
2024-01-28,SUP041,679318,813611,1619,0,Accepted,,10:27:00,13:27:00,14:00:00
2023-09-05,SUP035,693727,795085,725,0,Accepted,,10:37:00,11:37:00,12:19:00
2023-05-04,SUP073,608761,177366,1982,0,Accepted,,09:09:00,10:17:00,10:43:00
2022-08-09,SUP080,978371,672033,1178,0,Accepted,,13:32:00,15:27:00,16:09:00
2022-10-08,SUP045,229424,994214,1261,0,Accepted,,14:39:00,17:11:00,17:29:00
2023-02-14,SUP089,648634,859746,1504,0,Accepted,,11:00:00,13:05:00,13:40:00
2022-01-07,SUP079,491280,890138,1403,0,Accepted,,10:29:00,12:19:00,12:38:00
2022-07-18,SUP071,945382,116846,226,0,Accepted,,11:09:00,13:17:00,13:49:00
2023-07-29,SUP069,192630,435265,1571,0,Accepted,,10:55:00,13:37:00,14:03:00
2024-08-12,SUP047,870497,778840,2113,0,Accepted,,10:50:00,12:21:00,12:38:00
2024-03-07,SUP099,826030,357024,936,0,Accepted,,10:44:00,12:55:00,13:16:00
2022-05-02,SUP000,221791,135897,1119,0,Accepted,,10:17:00,11:41:00,12:02:00
2024-03-25,SUP067,649162,168474,1144,0,Accepted,,14:21:00,15:47:00,16:05:00
2024-01-27,SUP032,898593,889133,663,0,Accepted,,09:34:00,11:13:00,11:55:00
2023-02-09,SUP042,538742,820291,895,0,Accepted,,14:50:00,16:51:00,17:20:00
2023-04-01,SUP068,196414,467936,873,0,Accepted,,11:31:00,12:58:00,13:28:00
2023-05-05,SUP060,157732,415020,2121,0,Accepted,,12:15:00,14:25:00,14:48:00
2023-12-27,SUP050,237497,675148,399,0,Accepted,,11:29:00,14:13:00,14:51:00
2023-03-24,SUP046,989589,997190,1473,0,Accepted,,11:26:00,12:32:00,13:13:00
2023-11-18,SUP060,684288,781897,1185,0,Accepted,,11:40:00,13:22:00,13:41:00
2024-12-24,SUP088,402789,862812,754,0,Accepted,,09:18:00,11:11:00,11:44:00
2023-11-18,SUP055,809220,267900,1774,0,Accepted,,13:03:00,15:51:00,16:14:00
2024-01-20,SUP001,707403,737329,450,20,Rejected,Quality Issue,12:21:00,14:44:00,15:11:00
2022-02-16,SUP023,397887,773010,1269,0,Accepted,,13:04:00,14:23:00,14:52:00
2024-11-14,SUP030,241384,145826,1264,0,Accepted,,10:14:00,12:01:00,12:31:00
2023-08-12,SUP097,332599,311135,1104,0,Accepted,,12:58:00,14:16:00,14:45:00
2024-03-10,SUP077,759922,582530,490,0,Accepted,,14:09:00,16:18:00,16:29:00
2022-12-12,SUP061,590231,840938,1887,0,Accepted,,12:02:00,14:46:00,15:15:00
2024-12-19,SUP023,220050,162930,2311,0,Accepted,,11:51:00,14:42:00,15:06:00
2023-09-14,SUP029,760510,297531,2062,0,Accepted,,12:35:00,15:07:00,15:45:00
2022-05-14,SUP055,640036,703168,563,0,Accepted,,12:32:00,14:56:00,15:14:00
2022-12-08,SUP018,829576,310034,1008,0,Accepted,,12:40:00,14:04:00,14:45:00
2023-08-08,SUP032,702863,868688,150,1,Rejected,Regulatory issue,09:38:00,11:41:00,12:01:00
2023-03-31,SUP050,498740,788622,1462,0,Accepted,,11:24:00,13:39:00,13:52:00
2022-06-21,SUP055,821977,504920,1297,0,Accepted,,09:09:00,10:48:00,11:03:00
2024-05-16,SUP007,608761,177366,1265,0,Accepted,,11:32:00,13:21:00,13:47:00
2024-07-27,SUP034,339158,353923,491,0,Accepted,,09:57:00,11:25:00,11:39:00
2023-12-01,SUP001,141405,688849,1905,0,Accepted,,11:45:00,14:23:00,14:36:00
2022-10-26,SUP085,710414,781158,402,0,Accepted,,09:56:00,12:43:00,13:11:00
2022-04-24,SUP075,281467,565187,2316,0,Accepted,,14:56:00,15:59:00,16:28:00
2022-08-25,SUP010,202547,849747,1241,0,Accepted,,09:11:00,11:41:00,11:53:00
2022-08-11,SUP085,446881,159727,800,0,Accepted,,14:15:00,16:17:00,16:49:00
2023-09-30,SUP023,883003,706767,2495,0,Accepted,,13:07:00,15:23:00,15:52:00
2022-11-21,SUP087,220022,398671,1531,0,Accepted,,12:54:00,14:05:00,14:23:00
2024-07-29,SUP046,202246,568882,566,9,Rejected,Quality Issue,14:39:00,15:57:00,16:31:00
2023-11-04,SUP038,847616,193500,609,0,Accepted,,13:34:00,14:38:00,14:50:00
2024-07-25,SUP003,927574,982201,1380,0,Accepted,,14:42:00,15:54:00,16:30:00
2022-12-23,SUP093,659648,490601,1203,14,Rejected,Quality Issue,14:11:00,17:09:00,17:25:00
2022-06-17,SUP034,409339,917415,1815,0,Accepted,,12:07:00,14:00:00,14:37:00
2023-04-08,SUP081,181779,478486,457,0,Accepted,,14:36:00,16:04:00,16:21:00
2024-12-10,SUP027,675965,487193,1964,0,Accepted,,12:57:00,15:52:00,16:20:00
2024-12-24,SUP066,988049,686351,1954,0,Accepted,,11:36:00,14:03:00,14:17:00
2024-11-07,SUP001,711547,832738,167,0,Accepted,,09:28:00,11:23:00,11:48:00
2022-11-15,SUP096,440530,105242,2365,0,Accepted,,13:40:00,16:11:00,16:42:00
2022-01-15,SUP044,410250,792097,1141,0,Accepted,,10:04:00,12:10:00,12:20:00
2023-03-03,SUP056,526192,322995,2285,0,On-hold,Regulatory issue,12:45:00,14:29:00,15:07:00
2024-02-01,SUP036,389266,839940,1454,0,Accepted,,10:47:00,12:03:00,12:26:00
2023-03-26,SUP046,835304,969349,1527,0,Accepted,,10:05:00,11:11:00,11:41:00
2024-01-15,SUP004,802626,754441,1914,0,Accepted,,12:50:00,15:47:00,15:57:00
2024-02-24,SUP025,454573,551418,879,0,Accepted,,14:03:00,16:12:00,16:51:00
2024-01-12,SUP086,995600,530915,653,0,Accepted,,14:11:00,17:11:00,17:37:00
2022-12-28,SUP015,782858,904741,1037,0,Accepted,,10:49:00,13:33:00,14:08:00
2022-05-14,SUP048,950622,817744,1515,0,Accepted,,13:16:00,15:56:00,16:06:00
2022-10-02,SUP098,481166,313325,2138,0,Accepted,,11:11:00,13:59:00,14:16:00
2022-07-29,SUP070,233798,754434,738,0,Accepted,,13:54:00,16:02:00,16:40:00
2023-09-26,SUP039,454217,953092,1996,0,Accepted,,13:01:00,14:48:00,15:13:00
2023-05-18,SUP006,750526,117306,2174,0,Accepted,,14:55:00,16:22:00,16:56:00
2024-09-05,SUP050,561459,361809,2116,0,Accepted,,14:21:00,15:46:00,16:09:00
2024-04-08,SUP014,522733,347756,2215,0,Accepted,,09:08:00,11:58:00,12:39:00
2023-07-04,SUP090,234458,873429,1413,65,On-hold,Quality Issue,10:22:00,11:55:00,12:23:00
2024-10-06,SUP070,988979,126267,2377,0,Accepted,,09:35:00,11:15:00,11:25:00
2023-03-19,SUP015,326049,882571,2184,0,Accepted,,09:50:00,12:17:00,12:46:00
2022-03-28,SUP056,652845,397179,1766,0,Accepted,,12:51:00,13:57:00,14:09:00
2024-09-26,SUP046,223733,147007,1960,0,Accepted,,14:34:00,15:39:00,16:19:00
2024-06-10,SUP058,306625,720404,225,0,Accepted,,13:52:00,15:01:00,15:39:00
2023-02-02,SUP069,390237,533717,2451,0,Accepted,,11:54:00,14:23:00,15:00:00
2022-06-03,SUP075,455340,269863,389,0,Accepted,,11:11:00,13:04:00,13:16:00
2023-09-25,SUP085,556109,262941,1105,0,Accepted,,09:29:00,10:30:00,10:47:00
2024-12-12,SUP072,233798,754434,1072,0,Accepted,,13:08:00,16:06:00,16:44:00
2024-08-13,SUP041,609676,887004,870,0,Accepted,,11:00:00,12:01:00,12:41:00
2024-12-09,SUP056,643892,144178,299,0,Accepted,,14:05:00,15:56:00,16:38:00
2022-07-30,SUP051,610300,154183,207,0,Accepted,,10:59:00,13:11:00,13:27:00
2024-08-29,SUP019,738070,981926,1234,0,Accepted,,12:50:00,15:10:00,15:25:00
2022-10-17,SUP090,337307,437170,1470,0,Accepted,,11:53:00,13:04:00,13:21:00
2022-02-01,SUP031,143715,245920,1611,0,Accepted,,12:58:00,14:48:00,15:29:00
2022-08-14,SUP049,794886,111163,181,0,Accepted,,12:01:00,15:01:00,15:33:00
2022-05-13,SUP011,432448,786735,2344,0,Accepted,,13:15:00,14:17:00,14:55:00
2023-08-08,SUP093,909464,400536,2374,0,Accepted,,14:41:00,16:28:00,16:44:00
2024-11-29,SUP086,804661,194308,1018,0,Accepted,,12:38:00,14:47:00,15:14:00
2024-10-20,SUP078,672884,737107,709,0,Accepted,,13:40:00,15:43:00,16:28:00
2022-10-25,SUP014,560126,636168,1228,0,Accepted,,09:54:00,12:24:00,13:07:00
2022-06-10,SUP097,577259,843194,864,0,Accepted,,09:25:00,11:51:00,12:30:00
2024-09-05,SUP007,665442,173408,1914,0,Accepted,,14:31:00,17:22:00,18:04:00
2022-12-09,SUP045,855526,861337,1160,0,Accepted,,09:53:00,11:05:00,11:29:00
2023-03-04,SUP078,695532,980428,1653,0,Accepted,,09:53:00,11:54:00,12:21:00
2024-05-22,SUP005,315345,202739,1841,0,Accepted,,13:12:00,15:39:00,16:01:00
2023-07-15,SUP082,115462,167042,829,0,Accepted,,10:14:00,12:54:00,13:10:00
2022-04-15,SUP070,963861,900838,2205,0,Accepted,,12:12:00,14:49:00,15:31:00
2024-01-22,SUP019,895947,215336,1700,0,Accepted,,10:23:00,12:03:00,12:23:00
2023-09-25,SUP074,753466,458873,2403,0,Accepted,,14:57:00,17:50:00,18:21:00
2023-04-26,SUP045,636359,155894,1091,0,Accepted,,12:04:00,13:26:00,13:47:00
2022-04-22,SUP054,327718,137662,1219,0,Accepted,,13:16:00,14:19:00,14:35:00
2023-07-30,SUP044,430738,881155,1313,0,Accepted,,10:53:00,12:11:00,12:45:00
2023-08-11,SUP097,675965,487193,1694,0,Accepted,,12:25:00,15:00:00,15:10:00
2023-05-05,SUP061,469302,266059,888,0,Accepted,,14:31:00,16:54:00,17:15:00
2022-08-31,SUP056,167451,935514,143,0,Accepted,,12:48:00,14:15:00,14:52:00
2024-05-05,SUP084,147286,685718,860,0,Accepted,,09:26:00,11:43:00,11:55:00
2022-05-22,SUP012,369212,839977,152,0,Accepted,,09:38:00,12:09:00,12:47:00
2022-02-02,SUP058,238370,135686,1909,0,Accepted,,14:19:00,16:38:00,17:01:00
2023-02-20,SUP052,774664,325823,1006,0,Accepted,,13:27:00,15:03:00,15:43:00
2024-09-29,SUP069,114762,453351,350,0,Accepted,,13:39:00,16:13:00,16:35:00
2023-03-14,SUP044,120664,845459,2446,0,Accepted,,14:52:00,17:01:00,17:30:00
2024-04-07,SUP035,608761,177366,2276,107,Rejected,Regulatory issue,11:57:00,14:40:00,15:18:00
2023-01-03,SUP075,641126,853820,1654,0,Accepted,,09:05:00,11:31:00,12:15:00
2023-11-25,SUP021,533143,424805,100,0,Accepted,,14:52:00,16:08:00,16:42:00
2022-07-10,SUP011,758690,325923,1138,4,On-hold,Quality Issue,14:38:00,16:56:00,17:14:00
2023-08-26,SUP056,663921,654295,268,0,Accepted,,11:21:00,13:20:00,13:56:00
2024-03-31,SUP046,427553,758773,1882,0,Accepted,,10:26:00,11:53:00,12:21:00
2024-05-11,SUP091,551218,202337,2311,0,Accepted,,11:52:00,14:45:00,15:26:00
2022-05-05,SUP068,108731,551877,738,0,Accepted,,09:33:00,11:44:00,12:03:00
2022-11-20,SUP011,267967,233069,1187,0,Accepted,,14:38:00,16:11:00,16:30:00
2024-02-07,SUP063,364381,469834,2079,0,Accepted,,12:11:00,14:20:00,14:59:00
2023-09-27,SUP043,154441,130674,214,0,Accepted,,12:29:00,14:55:00,15:09:00
2022-10-21,SUP078,318398,229367,595,0,Accepted,,12:49:00,14:24:00,14:46:00
2023-04-01,SUP022,710414,781158,910,41,Rejected,Regulatory issue,11:53:00,14:36:00,15:21:00
2023-08-28,SUP050,640036,703168,2188,0,Accepted,,13:20:00,14:52:00,15:10:00
2023-03-20,SUP075,373826,721538,2432,0,Accepted,,14:32:00,17:00:00,17:40:00
2024-04-13,SUP018,908085,864680,1214,0,Accepted,,12:30:00,14:25:00,14:57:00
2022-04-06,SUP013,955720,343445,1981,0,Accepted,,10:17:00,13:05:00,13:45:00
2022-11-26,SUP023,245835,918410,1577,0,Accepted,,14:34:00,16:31:00,17:05:00
2023-11-20,SUP029,626809,125161,1447,0,Accepted,,10:50:00,12:32:00,13:16:00
2024-09-24,SUP006,410250,792097,473,17,Rejected,Regulatory issue,12:20:00,14:23:00,14:58:00
2022-02-02,SUP083,526769,854189,2052,0,Accepted,,13:13:00,14:49:00,15:33:00
2024-12-26,SUP098,891077,925426,1440,0,Accepted,,10:48:00,12:08:00,12:29:00
2024-12-17,SUP014,209047,333244,2072,0,Accepted,,09:59:00,12:56:00,13:37:00
2024-04-03,SUP047,480843,679246,379,0,Accepted,,14:25:00,16:32:00,16:53:00
2023-03-07,SUP030,410155,321141,2249,0,Accepted,,11:05:00,12:15:00,12:38:00
2023-12-06,SUP095,291167,135561,1661,0,Accepted,,13:43:00,14:52:00,15:02:00
2024-01-28,SUP036,835304,969349,112,0,Accepted,,12:40:00,15:29:00,15:59:00
2024-06-19,SUP004,511263,583015,1505,0,Accepted,,13:12:00,14:30:00,15:01:00
2022-06-17,SUP083,947199,931062,384,0,Accepted,,10:50:00,12:24:00,12:56:00
2022-05-14,SUP042,381691,663408,239,0,Accepted,,09:51:00,12:27:00,13:12:00
2023-01-27,SUP041,832761,293939,1089,0,Accepted,,13:53:00,15:09:00,15:37:00
2023-03-04,SUP056,129764,266017,1056,0,Accepted,,10:49:00,13:40:00,14:15:00
2023-03-30,SUP068,672884,737107,328,0,Accepted,,13:56:00,15:19:00,15:34:00
2024-09-13,SUP018,198943,596220,2490,0,Accepted,,14:01:00,16:26:00,16:39:00
2024-06-20,SUP092,454866,596864,1750,0,Accepted,,13:29:00,14:43:00,15:12:00
2024-04-15,SUP049,265732,231832,1165,0,Accepted,,10:24:00,12:24:00,12:50:00
2024-07-17,SUP077,658934,726756,970,0,Accepted,,12:19:00,14:58:00,15:34:00
2023-11-04,SUP095,202932,169336,786,0,Accepted,,10:46:00,12:22:00,12:44:00
2023-01-13,SUP002,307221,161268,1782,36,Rejected,Regulatory issue,11:38:00,13:24:00,13:42:00
2023-05-15,SUP033,112424,690495,1592,0,Accepted,,12:01:00,13:21:00,13:52:00
2023-10-26,SUP047,586097,469613,1513,0,Accepted,,12:47:00,15:09:00,15:53:00
2022-09-19,SUP006,895947,215336,2348,96,Rejected,Quality Issue,10:39:00,12:27:00,13:03:00
2022-04-17,SUP021,251772,624784,2054,0,Accepted,,11:03:00,12:16:00,12:52:00
2024-05-15,SUP067,921788,251652,198,1,Rejected,Quality Issue,10:45:00,13:04:00,13:30:00
2022-07-28,SUP064,610523,273364,2219,0,Accepted,,11:35:00,14:32:00,15:07:00
2024-02-10,SUP086,413485,319881,1479,0,Accepted,,13:45:00,15:43:00,16:13:00
2024-12-23,SUP086,775667,912583,2127,0,Accepted,,10:29:00,12:36:00,13:10:00
2022-10-03,SUP074,879848,763224,325,0,Accepted,,10:51:00,12:30:00,12:53:00
2023-01-07,SUP009,759922,582530,1867,0,Accepted,,14:34:00,15:39:00,16:17:00
2023-07-23,SUP083,265512,778383,1818,0,Accepted,,13:44:00,16:43:00,17:24:00
2022-05-04,SUP036,162678,783660,153,0,Accepted,,11:15:00,14:05:00,14:28:00
2022-04-24,SUP078,167451,935514,253,12,Rejected,Quality Issue,12:59:00,14:38:00,14:55:00
2023-09-02,SUP030,101092,702065,1218,0,Accepted,,10:59:00,12:53:00,13:03:00
2023-04-16,SUP063,820312,828370,1577,0,Accepted,,11:32:00,13:51:00,14:32:00
2024-01-14,SUP049,898794,946470,1427,0,Accepted,,11:36:00,13:04:00,13:30:00
2023-01-08,SUP077,877915,780239,2123,0,Accepted,,14:07:00,15:55:00,16:40:00
2022-01-28,SUP057,414552,250464,1467,0,Accepted,,10:14:00,11:30:00,12:08:00
2024-10-18,SUP058,446412,796576,1132,0,Accepted,,14:59:00,16:42:00,17:08:00
2023-12-28,SUP076,396710,243285,2390,0,Accepted,,13:37:00,16:20:00,16:40:00
2023-02-05,SUP046,353233,546962,2408,0,Accepted,,14:16:00,15:17:00,15:57:00
2024-04-03,SUP080,724567,419267,773,0,Accepted,,10:43:00,13:04:00,13:22:00
2024-12-19,SUP024,454217,953092,2003,0,Accepted,,09:07:00,11:44:00,12:04:00
2024-12-02,SUP055,880061,255391,649,20,Rejected,Quality Issue,12:35:00,15:08:00,15:27:00
2023-02-06,SUP048,244957,833109,785,20,Rejected,Regulatory issue,10:37:00,12:05:00,12:34:00
2022-10-19,SUP094,183560,989199,702,0,Accepted,,11:06:00,12:14:00,12:59:00
2022-12-27,SUP019,933012,850524,1978,0,Accepted,,13:24:00,15:20:00,15:51:00
2024-08-22,SUP000,610770,393948,939,21,Rejected,Regulatory issue,14:34:00,15:42:00,16:18:00
2022-09-17,SUP084,789064,683225,420,0,Accepted,,12:47:00,14:49:00,15:20:00
2022-06-12,SUP057,480559,519699,1627,56,Rejected,Quality Issue,11:34:00,14:11:00,14:44:00
2022-11-29,SUP022,432735,770370,309,0,Accepted,,14:06:00,15:40:00,15:51:00
2024-06-09,SUP057,292762,266687,2000,38,Rejected,Quality Issue,13:24:00,15:54:00,16:35:00
2024-02-02,SUP012,646631,116721,1577,0,Accepted,,10:45:00,12:38:00,13:07:00
2024-02-29,SUP059,151508,125091,1320,0,Accepted,,10:36:00,11:44:00,12:19:00
2022-10-30,SUP015,697782,862405,613,0,Accepted,,12:18:00,14:48:00,14:59:00
2022-11-25,SUP097,422159,748776,256,0,Accepted,,14:39:00,17:08:00,17:52:00
2024-12-16,SUP062,760510,297531,1033,0,Accepted,,12:42:00,14:44:00,14:59:00
2024-10-26,SUP039,908085,864680,2338,0,Accepted,,12:19:00,15:17:00,15:56:00
2022-03-19,SUP077,268503,829034,1793,0,Accepted,,12:11:00,13:14:00,13:35:00
2022-09-05,SUP092,760510,297531,276,0,Accepted,,09:47:00,11:08:00,11:32:00
2024-07-15,SUP020,262359,105386,143,0,Accepted,,11:43:00,12:57:00,13:08:00
2023-11-11,SUP064,239370,740702,357,14,Rejected,Quality Issue,09:56:00,11:06:00,11:43:00
2022-01-16,SUP089,854918,380941,2131,0,Accepted,,11:23:00,13:23:00,14:08:00
2023-06-05,SUP065,664812,679022,2078,0,Accepted,,10:08:00,12:25:00,12:53:00
2022-07-06,SUP039,575434,110199,1012,0,Accepted,,09:54:00,11:02:00,11:16:00
2022-11-26,SUP082,943539,264394,198,0,Accepted,,09:46:00,12:03:00,12:25:00
2022-02-06,SUP061,671253,551623,1110,0,Accepted,,11:32:00,12:58:00,13:10:00
2022-07-16,SUP059,229788,352497,592,0,Accepted,,14:26:00,16:38:00,17:04:00
2024-12-17,SUP087,894115,822210,1562,7,Rejected,Quality Issue,13:09:00,14:12:00,14:28:00
2022-10-23,SUP025,791108,720239,2257,0,Accepted,,11:05:00,13:40:00,14:18:00
2022-05-01,SUP041,422649,897417,1883,0,Accepted,,13:03:00,15:48:00,16:20:00
2023-07-08,SUP013,836185,183457,2443,0,Accepted,,14:29:00,17:09:00,17:36:00
2024-07-04,SUP010,319274,903363,640,19,Rejected,Regulatory issue,11:38:00,14:33:00,15:01:00
2023-05-08,SUP076,462690,974536,1851,0,Accepted,,11:49:00,14:34:00,15:06:00
2023-06-16,SUP089,997198,112721,1891,0,Accepted,,11:51:00,13:28:00,13:59:00
2024-10-07,SUP060,661198,130482,1320,0,Accepted,,13:58:00,15:56:00,16:06:00
2022-02-27,SUP002,438668,898953,568,0,Accepted,,11:57:00,13:57:00,14:15:00
2022-06-25,SUP093,724492,940812,1560,0,Accepted,,09:46:00,12:11:00,12:56:00
2024-06-10,SUP083,989833,954777,1424,0,Accepted,,09:43:00,11:50:00,12:29:00
2023-10-18,SUP049,328071,395238,262,0,Accepted,,10:03:00,12:16:00,12:38:00
2022-12-30,SUP091,325877,806847,1305,0,Accepted,,11:50:00,13:58:00,14:12:00
2024-03-31,SUP066,526379,106312,1161,0,Accepted,,12:02:00,13:03:00,13:30:00
2024-01-30,SUP098,957352,683414,484,24,On-hold,Regulatory issue,11:30:00,13:15:00,13:27:00
2023-08-14,SUP065,989589,997190,2214,0,Accepted,,12:16:00,14:22:00,15:03:00
2023-04-29,SUP047,586097,469613,1407,16,On-hold,Regulatory issue,11:47:00,14:18:00,15:01:00
2023-12-13,SUP055,219852,714543,1759,0,Accepted,,12:35:00,15:27:00,15:47:00
2024-02-27,SUP013,640662,552703,1606,0,Accepted,,09:00:00,10:06:00,10:35:00
2024-10-31,SUP077,901768,399927,1912,0,Accepted,,11:03:00,13:06:00,13:28:00
2023-06-17,SUP061,217510,670587,2289,0,Accepted,,14:11:00,16:54:00,17:39:00
2022-02-11,SUP081,234473,393806,282,0,Accepted,,13:56:00,15:29:00,15:54:00
2022-05-03,SUP062,423097,224102,2348,0,Accepted,,09:02:00,11:35:00,11:47:00
2022-02-04,SUP010,913637,173215,2148,0,Accepted,,10:58:00,13:41:00,14:03:00
2023-12-21,SUP023,689596,252823,290,0,Accepted,,09:09:00,11:34:00,12:03:00
2024-03-20,SUP008,619756,979944,784,0,Accepted,,10:28:00,12:53:00,13:05:00
2024-09-18,SUP013,791108,720239,659,0,Accepted,,12:40:00,13:47:00,14:20:00
