monitoring_date,location_code,inspection_time,temperature
2022-06-14,Outbound Bay,09.00PM,10
2022-09-04,A01 Room,12.00AM,-18
2022-09-04,A01 Room,03.00AM,-17
2022-09-04,A01 Room,06.00AM,-19
2022-09-04,A01 Room,09.00AM,-18
2022-09-04,A01 Room,12.00PM,-18
2022-09-04,A01 Room,03.00PM,-18
2022-09-04,A01 Room,06.00PM,-17
2022-09-04,A01 Room,09.00PM,-21
2022-09-04,B01 Room,12.00AM,-18
2022-09-04,B01 Room,03.00AM,-17
2022-09-04,B01 Room,06.00AM,-21
2022-09-04,B01 Room,09.00AM,-20
2022-09-04,B01 Room,12.00PM,-17
2022-09-04,B01 Room,03.00PM,-20
2022-09-04,B01 Room,06.00PM,-16
2022-09-04,B01 Room,09.00PM,-18
2022-09-04,C01 Room,12.00AM,-17
2022-09-04,C01 Room,03.00AM,-20
2022-09-04,C01 Room,06.00AM,-19
2022-09-04,C01 Room,09.00AM,-15
2022-09-04,C01 Room,12.00PM,-18
2022-09-04,C01 Room,03.00PM,-21
2022-09-04,C01 Room,06.00PM,-16
2022-09-04,C01 Room,09.00PM,-15
2022-09-04,D01 Room,12.00AM,-16
2022-09-04,D01 Room,03.00AM,-20
2022-09-04,D01 Room,06.00AM,-15
2022-09-04,D01 Room,09.00AM,-20
2022-09-04,D01 Room,12.00PM,-19
2022-09-04,D01 Room,03.00PM,-16
2022-09-04,D01 Room,06.00PM,-18
2022-09-04,D01 Room,09.00PM,-21
2022-09-04,Inbound Bay,12.00AM,9
2022-09-04,Inbound Bay,03.00AM,12
2022-09-04,Inbound Bay,06.00AM,7
2022-09-04,Inbound Bay,09.00AM,10
2022-09-04,Inbound Bay,12.00PM,11
2022-09-04,Inbound Bay,03.00PM,13
2022-09-04,Inbound Bay,06.00PM,11
2022-09-04,Inbound Bay,09.00PM,12
2022-09-04,Outbound Bay,12.00AM,7
2022-09-04,Outbound Bay,03.00AM,13
2022-09-04,Outbound Bay,06.00AM,13
2022-09-04,Outbound Bay,09.00AM,8
2022-09-04,Outbound Bay,12.00PM,11
2022-09-04,Outbound Bay,03.00PM,8
2022-09-04,Outbound Bay,06.00PM,9
2022-09-04,Outbound Bay,09.00PM,13
2023-12-07,A01 Room,12.00AM,-15
2023-12-07,A01 Room,03.00AM,-17
2023-12-07,A01 Room,06.00AM,-21
2023-12-07,A01 Room,09.00AM,-21
2023-12-07,A01 Room,12.00PM,-19
2023-12-07,A01 Room,03.00PM,-20
2023-12-07,A01 Room,06.00PM,-19
2023-12-07,A01 Room,09.00PM,-21
2023-12-07,B01 Room,12.00AM,-20
2023-12-07,B01 Room,03.00AM,-18
2023-12-07,B01 Room,06.00AM,-16
2023-12-07,B01 Room,09.00AM,-20
2023-12-07,B01 Room,12.00PM,-20
2023-12-07,B01 Room,03.00PM,-18
2023-12-07,B01 Room,06.00PM,-20
2023-12-07,B01 Room,09.00PM,-18
2023-12-07,C01 Room,12.00AM,-18
2023-12-07,C01 Room,03.00AM,-21
2023-12-07,C01 Room,06.00AM,-21
2023-12-07,C01 Room,09.00AM,-16
2023-12-07,C01 Room,12.00PM,-17
2023-12-07,C01 Room,03.00PM,-19
2023-12-07,C01 Room,06.00PM,-16
2023-12-07,C01 Room,09.00PM,-15
2023-12-07,D01 Room,12.00AM,-15
2023-12-07,D01 Room,03.00AM,-21
2023-12-07,D01 Room,06.00AM,-20
2023-12-07,D01 Room,09.00AM,-18
2023-12-07,D01 Room,12.00PM,-19
2023-12-07,D01 Room,03.00PM,-18
2023-12-07,D01 Room,06.00PM,-18
2023-12-07,D01 Room,09.00PM,-20
2023-12-07,Inbound Bay,12.00AM,10
2023-12-07,Inbound Bay,03.00AM,11
2023-12-07,Inbound Bay,06.00AM,8
2023-12-07,Inbound Bay,09.00AM,8
2023-12-07,Inbound Bay,12.00PM,13
2023-12-07,Inbound Bay,03.00PM,7
2023-12-07,Inbound Bay,06.00PM,12
2023-12-07,Inbound Bay,09.00PM,10
2023-12-07,Outbound Bay,12.00AM,11
2023-12-07,Outbound Bay,03.00AM,10
2023-12-07,Outbound Bay,06.00AM,7
2023-12-07,Outbound Bay,09.00AM,10
2023-12-07,Outbound Bay,12.00PM,7
2023-12-07,Outbound Bay,03.00PM,12
2023-12-07,Outbound Bay,06.00PM,8
2023-12-07,Outbound Bay,09.00PM,7
2023-12-22,A01 Room,12.00AM,-19
2023-12-22,A01 Room,03.00AM,-18
2023-12-22,A01 Room,06.00AM,-19
2023-12-22,A01 Room,09.00AM,-21
2023-12-22,A01 Room,12.00PM,-21
2023-12-22,A01 Room,03.00PM,-16
2023-12-22,A01 Room,06.00PM,-20
2023-12-22,A01 Room,09.00PM,-19
2023-12-22,B01 Room,12.00AM,-15
2023-12-22,B01 Room,03.00AM,-21
2023-12-22,B01 Room,06.00AM,-21
2023-12-22,B01 Room,09.00AM,-16
2023-12-22,B01 Room,12.00PM,-16
2023-12-22,B01 Room,03.00PM,-18
2023-12-22,B01 Room,06.00PM,-20
2023-12-22,B01 Room,09.00PM,-20
2023-12-22,C01 Room,12.00AM,-17
2023-12-22,C01 Room,03.00AM,-18
2023-12-22,C01 Room,06.00AM,-16
2023-12-22,C01 Room,09.00AM,-15
2023-12-22,C01 Room,12.00PM,-18
2023-12-22,C01 Room,03.00PM,-19
2023-12-22,C01 Room,06.00PM,-19
2023-12-22,C01 Room,09.00PM,-15
2023-12-22,D01 Room,12.00AM,-19
2023-12-22,D01 Room,03.00AM,-20
2023-12-22,D01 Room,06.00AM,-17
2023-12-22,D01 Room,09.00AM,-21
2023-12-22,D01 Room,12.00PM,-19
2023-12-22,D01 Room,03.00PM,-21
2023-12-22,D01 Room,06.00PM,-17
2023-12-22,D01 Room,09.00PM,-20
2023-12-22,Inbound Bay,12.00AM,10
2023-12-22,Inbound Bay,03.00AM,10
2023-12-22,Inbound Bay,06.00AM,12
2023-12-22,Inbound Bay,09.00AM,7
2023-12-22,Inbound Bay,12.00PM,9
2023-12-22,Inbound Bay,03.00PM,11
2023-12-22,Inbound Bay,06.00PM,7
2023-12-22,Inbound Bay,09.00PM,11
2023-12-22,Outbound Bay,12.00AM,11
2023-12-22,Outbound Bay,03.00AM,11
2023-12-22,Outbound Bay,06.00AM,7
2023-12-22,Outbound Bay,09.00AM,10
2023-12-22,Outbound Bay,12.00PM,7
2023-12-22,Outbound Bay,03.00PM,8
2023-12-22,Outbound Bay,06.00PM,12
2023-12-22,Outbound Bay,09.00PM,8
2022-03-11,A01 Room,12.00AM,-21
2022-03-11,A01 Room,03.00AM,-21
2022-03-11,A01 Room,06.00AM,-20
2022-03-11,A01 Room,09.00AM,-19
2022-03-11,A01 Room,12.00PM,-15
2022-03-11,A01 Room,03.00PM,-18
2022-03-11,A01 Room,06.00PM,-19
2022-03-11,A01 Room,09.00PM,-21
2022-03-11,B01 Room,12.00AM,-15
2022-03-11,B01 Room,03.00AM,-17
2022-03-11,B01 Room,06.00AM,-19
2022-03-11,B01 Room,09.00AM,-19
2022-03-11,B01 Room,12.00PM,-21
2022-03-11,B01 Room,03.00PM,-21
2022-03-11,B01 Room,06.00PM,-16
2022-03-11,B01 Room,09.00PM,-20
2022-03-11,C01 Room,12.00AM,-18
2022-03-11,C01 Room,03.00AM,-21
2022-03-11,C01 Room,06.00AM,-18
2022-03-11,C01 Room,09.00AM,-15
2022-03-11,C01 Room,12.00PM,-16
2022-03-11,C01 Room,03.00PM,-18
2022-03-11,C01 Room,06.00PM,-20
2022-03-11,C01 Room,09.00PM,-15
2022-03-11,D01 Room,12.00AM,-15
2022-03-11,D01 Room,03.00AM,-18
2022-03-11,D01 Room,06.00AM,-20
2022-03-11,D01 Room,09.00AM,-17
2022-03-11,D01 Room,12.00PM,-19
2022-03-11,D01 Room,03.00PM,-16
2022-03-11,D01 Room,06.00PM,-19
2022-03-11,D01 Room,09.00PM,-17
2022-03-11,Inbound Bay,12.00AM,7
2022-03-11,Inbound Bay,03.00AM,11
2022-03-11,Inbound Bay,06.00AM,7
2022-03-11,Inbound Bay,09.00AM,11
2022-03-11,Inbound Bay,12.00PM,13
2022-03-11,Inbound Bay,03.00PM,11
2022-03-11,Inbound Bay,06.00PM,11
2022-03-11,Inbound Bay,09.00PM,12
2022-03-11,Outbound Bay,12.00AM,9
2022-03-11,Outbound Bay,03.00AM,7
2022-03-11,Outbound Bay,06.00AM,7
2022-03-11,Outbound Bay,09.00AM,13
2022-03-11,Outbound Bay,12.00PM,9
2022-03-11,Outbound Bay,03.00PM,10
2022-03-11,Outbound Bay,06.00PM,10
2022-03-11,Outbound Bay,09.00PM,12
2023-02-06,A01 Room,12.00AM,-20
2023-02-06,A01 Room,03.00AM,-18
2023-02-06,A01 Room,06.00AM,-19
2023-02-06,A01 Room,09.00AM,-16
2023-02-06,A01 Room,12.00PM,-19
2023-02-06,A01 Room,03.00PM,-20
2023-02-06,A01 Room,06.00PM,-15
2023-02-06,A01 Room,09.00PM,-15
2023-02-06,B01 Room,12.00AM,-18
2023-02-06,B01 Room,03.00AM,-20
2023-02-06,B01 Room,06.00AM,-21
2023-02-06,B01 Room,09.00AM,-21
2023-02-06,B01 Room,12.00PM,-21
2023-02-06,B01 Room,03.00PM,-21
2023-02-06,B01 Room,06.00PM,-15
2023-02-06,B01 Room,09.00PM,-19
2023-02-06,C01 Room,12.00AM,-18
2023-02-06,C01 Room,03.00AM,-16
2023-02-06,C01 Room,06.00AM,-15
2023-02-06,C01 Room,09.00AM,-16
2023-02-06,C01 Room,12.00PM,-21
2023-02-06,C01 Room,03.00PM,-16
2023-02-06,C01 Room,06.00PM,-21
2023-02-06,C01 Room,09.00PM,-17
2023-02-06,D01 Room,12.00AM,-21
2023-02-06,D01 Room,03.00AM,-16
2023-02-06,D01 Room,06.00AM,-17
2023-02-06,D01 Room,09.00AM,-19
2023-02-06,D01 Room,12.00PM,-20
2023-02-06,D01 Room,03.00PM,-16
2023-02-06,D01 Room,06.00PM,-15
2023-02-06,D01 Room,09.00PM,-20
2023-02-06,Inbound Bay,12.00AM,11
2023-02-06,Inbound Bay,03.00AM,9
2023-02-06,Inbound Bay,06.00AM,10
2023-02-06,Inbound Bay,09.00AM,13
2023-02-06,Inbound Bay,12.00PM,9
2023-02-06,Inbound Bay,03.00PM,11
2023-02-06,Inbound Bay,06.00PM,8
2023-02-06,Inbound Bay,09.00PM,8
2023-02-06,Outbound Bay,12.00AM,11
2023-02-06,Outbound Bay,03.00AM,11
2023-02-06,Outbound Bay,06.00AM,13
2023-02-06,Outbound Bay,09.00AM,10
2023-02-06,Outbound Bay,12.00PM,12
2023-02-06,Outbound Bay,03.00PM,13
2023-02-06,Outbound Bay,06.00PM,13
2023-02-06,Outbound Bay,09.00PM,10
2023-04-21,A01 Room,12.00AM,-18
2023-04-21,A01 Room,03.00AM,-17
2023-04-21,A01 Room,06.00AM,-17
2023-04-21,A01 Room,09.00AM,-18
2023-04-21,A01 Room,12.00PM,-19
2023-04-21,A01 Room,03.00PM,-21
2023-04-21,A01 Room,06.00PM,-20
2023-04-21,A01 Room,09.00PM,-17
2023-04-21,B01 Room,12.00AM,-15
2023-04-21,B01 Room,03.00AM,-15
2023-04-21,B01 Room,06.00AM,-17
2023-04-21,B01 Room,09.00AM,-18
2023-04-21,B01 Room,12.00PM,-21
2023-04-21,B01 Room,03.00PM,-16
2023-04-21,B01 Room,06.00PM,-15
2023-04-21,B01 Room,09.00PM,-16
2023-04-21,C01 Room,12.00AM,-16
2023-04-21,C01 Room,03.00AM,-15
2023-04-21,C01 Room,06.00AM,-17
2023-04-21,C01 Room,09.00AM,-19
2023-04-21,C01 Room,12.00PM,-17
2023-04-21,C01 Room,03.00PM,-20
2023-04-21,C01 Room,06.00PM,-18
2023-04-21,C01 Room,09.00PM,-21
2023-04-21,D01 Room,12.00AM,-21
2023-04-21,D01 Room,03.00AM,-20
2023-04-21,D01 Room,06.00AM,-20
2023-04-21,D01 Room,09.00AM,-21
2023-04-21,D01 Room,12.00PM,-15
2023-04-21,D01 Room,03.00PM,-19
2023-04-21,D01 Room,06.00PM,-19
2023-04-21,D01 Room,09.00PM,-17
2023-04-21,Inbound Bay,12.00AM,11
2023-04-21,Inbound Bay,03.00AM,11
2023-04-21,Inbound Bay,06.00AM,9
2023-04-21,Inbound Bay,09.00AM,13
2023-04-21,Inbound Bay,12.00PM,13
2023-04-21,Inbound Bay,03.00PM,13
2023-04-21,Inbound Bay,06.00PM,13
2023-04-21,Inbound Bay,09.00PM,13
2023-04-21,Outbound Bay,12.00AM,11
2023-04-21,Outbound Bay,03.00AM,8
2023-04-21,Outbound Bay,06.00AM,12
2023-04-21,Outbound Bay,09.00AM,12
2023-04-21,Outbound Bay,12.00PM,11
2023-04-21,Outbound Bay,03.00PM,8
2023-04-21,Outbound Bay,06.00PM,9
2023-04-21,Outbound Bay,09.00PM,13
2022-04-10,A01 Room,12.00AM,-19
2022-04-10,A01 Room,03.00AM,-20
2022-04-10,A01 Room,06.00AM,-15
2022-04-10,A01 Room,09.00AM,-20
2022-04-10,A01 Room,12.00PM,-19
2022-04-10,A01 Room,03.00PM,-19
2022-04-10,A01 Room,06.00PM,-15
2022-04-10,A01 Room,09.00PM,-15
2022-04-10,B01 Room,12.00AM,-20
2022-04-10,B01 Room,03.00AM,-16
2022-04-10,B01 Room,06.00AM,-19
2022-04-10,B01 Room,09.00AM,-19
2022-04-10,B01 Room,12.00PM,-18
2022-04-10,B01 Room,03.00PM,-16
2022-04-10,B01 Room,06.00PM,-21
2022-04-10,B01 Room,09.00PM,-15
2022-04-10,C01 Room,12.00AM,-19
2022-04-10,C01 Room,03.00AM,-16
2022-04-10,C01 Room,06.00AM,-16
2022-04-10,C01 Room,09.00AM,-20
2022-04-10,C01 Room,12.00PM,-18
2022-04-10,C01 Room,03.00PM,-19
2022-04-10,C01 Room,06.00PM,-19
2022-04-10,C01 Room,09.00PM,-16
2022-04-10,D01 Room,12.00AM,-17
2022-04-10,D01 Room,03.00AM,-17
2022-04-10,D01 Room,06.00AM,-15
2022-04-10,D01 Room,09.00AM,-18
2022-04-10,D01 Room,12.00PM,-17
2022-04-10,D01 Room,03.00PM,-21
2022-04-10,D01 Room,06.00PM,-20
2022-04-10,D01 Room,09.00PM,-17
2022-04-10,Inbound Bay,12.00AM,8
2022-04-10,Inbound Bay,03.00AM,7
2022-04-10,Inbound Bay,06.00AM,13
2022-04-10,Inbound Bay,09.00AM,11
2022-04-10,Inbound Bay,12.00PM,7
2022-04-10,Inbound Bay,03.00PM,11
2022-04-10,Inbound Bay,06.00PM,10
2022-04-10,Inbound Bay,09.00PM,10
2022-04-10,Outbound Bay,12.00AM,7
2022-04-10,Outbound Bay,03.00AM,13
2022-04-10,Outbound Bay,06.00AM,10
2022-04-10,Outbound Bay,09.00AM,10
2022-04-10,Outbound Bay,12.00PM,9
2022-04-10,Outbound Bay,03.00PM,10
2022-04-10,Outbound Bay,06.00PM,10
2022-04-10,Outbound Bay,09.00PM,11
2024-06-19,A01 Room,12.00AM,-17
2024-06-19,A01 Room,03.00AM,-20
2024-06-19,A01 Room,06.00AM,-16
2024-06-19,A01 Room,09.00AM,-16
2024-06-19,A01 Room,12.00PM,-16
2024-06-19,A01 Room,03.00PM,-15
2024-06-19,A01 Room,06.00PM,-16
2024-06-19,A01 Room,09.00PM,-17
2024-06-19,B01 Room,12.00AM,-18
2024-06-19,B01 Room,03.00AM,-19
2024-06-19,B01 Room,06.00AM,-17
2024-06-19,B01 Room,09.00AM,-15
2024-06-19,B01 Room,12.00PM,-20
2024-06-19,B01 Room,03.00PM,-18
2024-06-19,B01 Room,06.00PM,-17
2024-06-19,B01 Room,09.00PM,-18
2024-06-19,C01 Room,12.00AM,-21
2024-06-19,C01 Room,03.00AM,-16
2024-06-19,C01 Room,06.00AM,-21
2024-06-19,C01 Room,09.00AM,-21
2024-06-19,C01 Room,12.00PM,-19
2024-06-19,C01 Room,03.00PM,-18
2024-06-19,C01 Room,06.00PM,-16
2024-06-19,C01 Room,09.00PM,-19
2024-06-19,D01 Room,12.00AM,-16
2024-06-19,D01 Room,03.00AM,-21
2024-06-19,D01 Room,06.00AM,-17
2024-06-19,D01 Room,09.00AM,-21
2024-06-19,D01 Room,12.00PM,-20
2024-06-19,D01 Room,03.00PM,-15
2024-06-19,D01 Room,06.00PM,-15
2024-06-19,D01 Room,09.00PM,-21
2024-06-19,Inbound Bay,12.00AM,10
2024-06-19,Inbound Bay,03.00AM,10
2024-06-19,Inbound Bay,06.00AM,8
2024-06-19,Inbound Bay,09.00AM,9
2024-06-19,Inbound Bay,12.00PM,8
2024-06-19,Inbound Bay,03.00PM,8
2024-06-19,Inbound Bay,06.00PM,8
2024-06-19,Inbound Bay,09.00PM,13
2024-06-19,Outbound Bay,12.00AM,12
2024-06-19,Outbound Bay,03.00AM,11
2024-06-19,Outbound Bay,06.00AM,12
2024-06-19,Outbound Bay,09.00AM,10
2024-06-19,Outbound Bay,12.00PM,7
2024-06-19,Outbound Bay,03.00PM,8
2024-06-19,Outbound Bay,06.00PM,10
2024-06-19,Outbound Bay,09.00PM,10
2022-02-25,A01 Room,12.00AM,-21
2022-02-25,A01 Room,03.00AM,-18
2022-02-25,A01 Room,06.00AM,-20
2022-02-25,A01 Room,09.00AM,-17
2022-02-25,A01 Room,12.00PM,-20
2022-02-25,A01 Room,03.00PM,-16
2022-02-25,A01 Room,06.00PM,-18
2022-02-25,A01 Room,09.00PM,-19
2022-02-25,B01 Room,12.00AM,-20
2022-02-25,B01 Room,03.00AM,-18
2022-02-25,B01 Room,06.00AM,-15
2022-02-25,B01 Room,09.00AM,-21
2022-02-25,B01 Room,12.00PM,-15
2022-02-25,B01 Room,03.00PM,-15
2022-02-25,B01 Room,06.00PM,-20
2022-02-25,B01 Room,09.00PM,-17
2022-02-25,C01 Room,12.00AM,-21
2022-02-25,C01 Room,03.00AM,-20
2022-02-25,C01 Room,06.00AM,-18
2022-02-25,C01 Room,09.00AM,-18
2022-02-25,C01 Room,12.00PM,-21
2022-02-25,C01 Room,03.00PM,-21
2022-02-25,C01 Room,06.00PM,-21
2022-02-25,C01 Room,09.00PM,-18
2022-02-25,D01 Room,12.00AM,-16
2022-02-25,D01 Room,03.00AM,-16
2022-02-25,D01 Room,06.00AM,-15
2022-02-25,D01 Room,09.00AM,-17
2022-02-25,D01 Room,12.00PM,-18
2022-02-25,D01 Room,03.00PM,-18
2022-02-25,D01 Room,06.00PM,-18
2022-02-25,D01 Room,09.00PM,-20
2022-02-25,Inbound Bay,12.00AM,12
2022-02-25,Inbound Bay,03.00AM,9
2022-02-25,Inbound Bay,06.00AM,9
2022-02-25,Inbound Bay,09.00AM,9
2022-02-25,Inbound Bay,12.00PM,12
2022-02-25,Inbound Bay,03.00PM,10
2022-02-25,Inbound Bay,06.00PM,10
2022-02-25,Inbound Bay,09.00PM,10
2022-02-25,Outbound Bay,12.00AM,11
2022-02-25,Outbound Bay,03.00AM,7
2022-02-25,Outbound Bay,06.00AM,12
2022-02-25,Outbound Bay,09.00AM,11
2022-02-25,Outbound Bay,12.00PM,11
2022-02-25,Outbound Bay,03.00PM,10
2022-02-25,Outbound Bay,06.00PM,7
2022-02-25,Outbound Bay,09.00PM,9
2023-08-07,A01 Room,12.00AM,-16
2023-08-07,A01 Room,03.00AM,-16
2023-08-07,A01 Room,06.00AM,-19
2023-08-07,A01 Room,09.00AM,-20
2023-08-07,A01 Room,12.00PM,-19
2023-08-07,A01 Room,03.00PM,-18
2023-08-07,A01 Room,06.00PM,-18
2023-08-07,A01 Room,09.00PM,-16
2023-08-07,B01 Room,12.00AM,-21
2023-08-07,B01 Room,03.00AM,-18
2023-08-07,B01 Room,06.00AM,-20
2023-08-07,B01 Room,09.00AM,-20
2023-08-07,B01 Room,12.00PM,-15
2023-08-07,B01 Room,03.00PM,-21
2023-08-07,B01 Room,06.00PM,-21
2023-08-07,B01 Room,09.00PM,-19
2023-08-07,C01 Room,12.00AM,-19
2023-08-07,C01 Room,03.00AM,-16
2023-08-07,C01 Room,06.00AM,-21
2023-08-07,C01 Room,09.00AM,-21
2023-08-07,C01 Room,12.00PM,-19
2023-08-07,C01 Room,03.00PM,-21
2023-08-07,C01 Room,06.00PM,-21
2023-08-07,C01 Room,09.00PM,-21
2023-08-07,D01 Room,12.00AM,-15
2023-08-07,D01 Room,03.00AM,-18
2023-08-07,D01 Room,06.00AM,-19
2023-08-07,D01 Room,09.00AM,-19
2023-08-07,D01 Room,12.00PM,-15
2023-08-07,D01 Room,03.00PM,-16
2023-08-07,D01 Room,06.00PM,-18
2023-08-07,D01 Room,09.00PM,-19
2023-08-07,Inbound Bay,12.00AM,10
2023-08-07,Inbound Bay,03.00AM,12
2023-08-07,Inbound Bay,06.00AM,9
2023-08-07,Inbound Bay,09.00AM,11
2023-08-07,Inbound Bay,12.00PM,13
2023-08-07,Inbound Bay,03.00PM,9
2023-08-07,Inbound Bay,06.00PM,8
2023-08-07,Inbound Bay,09.00PM,10
2023-08-07,Outbound Bay,12.00AM,11
2023-08-07,Outbound Bay,03.00AM,8
2023-08-07,Outbound Bay,06.00AM,9
2023-08-07,Outbound Bay,09.00AM,9
2023-08-07,Outbound Bay,12.00PM,13
2023-08-07,Outbound Bay,03.00PM,8
2023-08-07,Outbound Bay,06.00PM,11
2023-08-07,Outbound Bay,09.00PM,10
2024-12-07,A01 Room,12.00AM,-20
2024-12-07,A01 Room,03.00AM,-17
2024-12-07,A01 Room,06.00AM,-20
2024-12-07,A01 Room,09.00AM,-15
2024-12-07,A01 Room,12.00PM,-15
2024-12-07,A01 Room,03.00PM,-19
2024-12-07,A01 Room,06.00PM,-21
2024-12-07,A01 Room,09.00PM,-20
2024-12-07,B01 Room,12.00AM,-20
2024-12-07,B01 Room,03.00AM,-17
2024-12-07,B01 Room,06.00AM,-20
2024-12-07,B01 Room,09.00AM,-21
2024-12-07,B01 Room,12.00PM,-21
2024-12-07,B01 Room,03.00PM,-20
2024-12-07,B01 Room,06.00PM,-15
2024-12-07,B01 Room,09.00PM,-21
2024-12-07,C01 Room,12.00AM,-19
2024-12-07,C01 Room,03.00AM,-21
2024-12-07,C01 Room,06.00AM,-20
2024-12-07,C01 Room,09.00AM,-16
2024-12-07,C01 Room,12.00PM,-17
2024-12-07,C01 Room,03.00PM,-18
2024-12-07,C01 Room,06.00PM,-15
2024-12-07,C01 Room,09.00PM,-19
2024-12-07,D01 Room,12.00AM,-19
2024-12-07,D01 Room,03.00AM,-20
2024-12-07,D01 Room,06.00AM,-17
2024-12-07,D01 Room,09.00AM,-15
2024-12-07,D01 Room,12.00PM,-20
2024-12-07,D01 Room,03.00PM,-16
2024-12-07,D01 Room,06.00PM,-19
2024-12-07,D01 Room,09.00PM,-16
2024-12-07,Inbound Bay,12.00AM,11
2024-12-07,Inbound Bay,03.00AM,9
2024-12-07,Inbound Bay,06.00AM,8
2024-12-07,Inbound Bay,09.00AM,13
2024-12-07,Inbound Bay,12.00PM,7
2024-12-07,Inbound Bay,03.00PM,11
2024-12-07,Inbound Bay,06.00PM,11
2024-12-07,Inbound Bay,09.00PM,11
2024-12-07,Outbound Bay,12.00AM,13
2024-12-07,Outbound Bay,03.00AM,8
2024-12-07,Outbound Bay,06.00AM,9
2024-12-07,Outbound Bay,09.00AM,11
2024-12-07,Outbound Bay,12.00PM,10
2024-12-07,Outbound Bay,03.00PM,8
2024-12-07,Outbound Bay,06.00PM,8
2024-12-07,Outbound Bay,09.00PM,12
2024-11-09,A01 Room,12.00AM,-15
2024-11-09,A01 Room,03.00AM,-19
2024-11-09,A01 Room,06.00AM,-16
2024-11-09,A01 Room,09.00AM,-17
2024-11-09,A01 Room,12.00PM,-15
2024-11-09,A01 Room,03.00PM,-18
2024-11-09,A01 Room,06.00PM,-20
2024-11-09,A01 Room,09.00PM,-20
2024-11-09,B01 Room,12.00AM,-15
2024-11-09,B01 Room,03.00AM,-17
2024-11-09,B01 Room,06.00AM,-19
2024-11-09,B01 Room,09.00AM,-19
2024-11-09,B01 Room,12.00PM,-18
2024-11-09,B01 Room,03.00PM,-18
2024-11-09,B01 Room,06.00PM,-19
2024-11-09,B01 Room,09.00PM,-21
2024-11-09,C01 Room,12.00AM,-16
2024-11-09,C01 Room,03.00AM,-19
2024-11-09,C01 Room,06.00AM,-17
2024-11-09,C01 Room,09.00AM,-19
2024-11-09,C01 Room,12.00PM,-16
2024-11-09,C01 Room,03.00PM,-21
2024-11-09,C01 Room,06.00PM,-19
2024-11-09,C01 Room,09.00PM,-20
2024-11-09,D01 Room,12.00AM,-21
2024-11-09,D01 Room,03.00AM,-20
2024-11-09,D01 Room,06.00AM,-17
2024-11-09,D01 Room,09.00AM,-21
2024-11-09,D01 Room,12.00PM,-21
2024-11-09,D01 Room,03.00PM,-19
2024-11-09,D01 Room,06.00PM,-20
2024-11-09,D01 Room,09.00PM,-15
2024-11-09,Inbound Bay,12.00AM,12
2024-11-09,Inbound Bay,03.00AM,10
2024-11-09,Inbound Bay,06.00AM,13
2024-11-09,Inbound Bay,09.00AM,7
2024-11-09,Inbound Bay,12.00PM,7
2024-11-09,Inbound Bay,03.00PM,7
2024-11-09,Inbound Bay,06.00PM,12
2024-11-09,Inbound Bay,09.00PM,8
2024-11-09,Outbound Bay,12.00AM,8
2024-11-09,Outbound Bay,03.00AM,12
2024-11-09,Outbound Bay,06.00AM,8
2024-11-09,Outbound Bay,09.00AM,8
2024-11-09,Outbound Bay,12.00PM,9
2024-11-09,Outbound Bay,03.00PM,12
2024-11-09,Outbound Bay,06.00PM,8
2024-11-09,Outbound Bay,09.00PM,10
2022-07-06,A01 Room,12.00AM,-20
