inspection_date,vehicle_no,good_truckbox,good_truckfloor,good_truckdoor,good_curtain,good_cooling_unit,pest_check,odor_check
2024-10-22,669128,Yes,Yes,Yes,Yes,Yes,Yes,Yes
2024-04-29,965360,Yes,Yes,Yes,Yes,Yes,Yes,Yes
2023-09-11,679149,Yes,Yes,Yes,Yes,Yes,Yes,No
2022-09-20,271604,Yes,Yes,Yes,Yes,Yes,Yes,Yes
2022-09-18,684492,Yes,Yes,Yes,Yes,Yes,Yes,Yes
2023-02-05,969104,Yes,Yes,Yes,Yes,Yes,Yes,Yes
2024-12-21,376342,Yes,Yes,Yes,Yes,Yes,Yes,Yes
2023-10-27,133960,Yes,Yes,Yes,Yes,Yes,Yes,Yes
2023-10-22,147795,Yes,Yes,Yes,Yes,Yes,Yes,Yes
2022-08-09,740803,Yes,Yes,Yes,Yes,Yes,Yes,Yes
2023-01-15,747240,No,Yes,Yes,Yes,Yes,Yes,Yes
2024-12-26,202921,Yes,Yes,Yes,Yes,Yes,Yes,Yes
2022-04-13,147795,Yes,Yes,Yes,Yes,No,Yes,Yes
2023-09-08,610841,Yes,Yes,Yes,Yes,Yes,Yes,Yes
2023-08-11,747240,Yes,Yes,Yes,Yes,Yes,Yes,Yes
2022-07-22,679149,Yes,Yes,Yes,No,Yes,Yes,Yes
2024-01-19,147795,Yes,Yes,Yes,Yes,Yes,Yes,Yes
2022-08-04,975958,Yes,Yes,Yes,Yes,Yes,Yes,Yes
2024-07-27,761087,Yes,Yes,Yes,Yes,Yes,Yes,Yes
2023-02-09,257344,Yes,Yes,Yes,Yes,Yes,Yes,Yes
2022-11-19,975958,Yes,Yes,Yes,Yes,Yes,Yes,Yes
2023-07-12,730082,Yes,Yes,Yes,Yes,Yes,Yes,Yes
2023-08-08,852208,Yes,Yes,Yes,Yes,Yes,Yes,Yes
2023-04-21,257344,Yes,Yes,Yes,Yes,Yes,Yes,Yes
2022-06-27,147795,Yes,Yes,Yes,Yes,Yes,Yes,Yes
2022-04-02,852208,Yes,Yes,Yes,Yes,Yes,Yes,Yes
2023-01-11,965360,Yes,Yes,Yes,Yes,Yes,Yes,Yes
2022-12-06,805995,Yes,Yes,Yes,Yes,Yes,Yes,Yes
2023-02-04,725173,Yes,Yes,Yes,Yes,Yes,Yes,Yes
2023-05-23,927199,Yes,Yes,Yes,Yes,Yes,Yes,Yes
2023-01-25,133960,Yes,Yes,Yes,Yes,Yes,Yes,Yes
2022-12-12,747240,Yes,Yes,Yes,Yes,Yes,Yes,Yes
2023-09-01,417866,Yes,Yes,Yes,Yes,Yes,Yes,Yes
2024-03-13,610841,Yes,Yes,Yes,Yes,Yes,Yes,Yes
2023-07-27,385905,Yes,Yes,Yes,Yes,Yes,Yes,Yes
2023-01-16,975958,Yes,Yes,Yes,Yes,Yes,Yes,Yes
2022-06-28,284331,Yes,Yes,Yes,Yes,Yes,Yes,Yes
2022-01-12,965360,No,Yes,Yes,Yes,Yes,Yes,Yes
2023-10-27,498289,Yes,Yes,Yes,No,Yes,Yes,Yes
2024-03-07,124266,Yes,No,Yes,Yes,Yes,Yes,Yes
2023-08-30,969104,No,Yes,Yes,Yes,Yes,Yes,Yes
2022-12-20,332153,Yes,Yes,Yes,Yes,Yes,Yes,Yes
2024-08-22,747240,Yes,Yes,Yes,Yes,Yes,Yes,Yes
2024-08-24,491934,Yes,Yes,Yes,Yes,Yes,Yes,Yes
2022-05-15,284331,No,Yes,Yes,Yes,Yes,Yes,No
2022-05-05,969104,Yes,Yes,Yes,Yes,Yes,Yes,Yes
2024-01-04,927199,Yes,Yes,Yes,Yes,Yes,Yes,Yes
2024-10-16,459040,No,Yes,Yes,Yes,Yes,Yes,Yes
2022-06-05,761087,Yes,Yes,Yes,Yes,Yes,Yes,Yes
2023-09-17,684492,Yes,Yes,Yes,Yes,Yes,Yes,Yes
2023-10-10,417866,Yes,Yes,Yes,Yes,Yes,Yes,Yes
2023-05-25,669128,Yes,Yes,Yes,Yes,Yes,Yes,Yes
2024-05-26,852208,Yes,Yes,Yes,Yes,Yes,Yes,Yes
2024-08-26,459040,Yes,Yes,Yes,Yes,Yes,Yes,Yes
2024-08-07,147795,Yes,Yes,Yes,Yes,Yes,Yes,Yes
2024-05-09,491934,Yes,Yes,Yes,Yes,Yes,Yes,Yes
2024-03-08,969104,Yes,Yes,Yes,Yes,Yes,Yes,Yes
2023-03-15,124266,Yes,Yes,Yes,Yes,Yes,Yes,Yes
2024-08-27,459040,Yes,Yes,Yes,Yes,Yes,Yes,Yes
2022-06-26,730082,Yes,Yes,Yes,Yes,Yes,Yes,Yes
2023-10-06,385905,Yes,Yes,Yes,Yes,No,Yes,Yes
2024-03-29,133960,Yes,Yes,Yes,Yes,Yes,Yes,Yes
2023-09-16,610841,Yes,Yes,Yes,Yes,Yes,Yes,Yes
2022-10-31,852208,Yes,Yes,Yes,Yes,Yes,Yes,Yes
2024-05-26,975958,Yes,Yes,Yes,Yes,Yes,Yes,Yes
2023-02-11,833447,Yes,Yes,Yes,Yes,Yes,Yes,Yes
2024-08-02,755796,Yes,Yes,Yes,Yes,Yes,Yes,Yes
2023-05-17,834169,Yes,Yes,Yes,Yes,Yes,Yes,Yes
2024-09-14,740803,Yes,Yes,Yes,Yes,Yes,Yes,Yes
2024-11-15,133960,Yes,Yes,Yes,Yes,Yes,Yes,Yes
2023-12-27,563945,Yes,Yes,Yes,Yes,Yes,Yes,No
2022-11-16,563945,Yes,Yes,Yes,Yes,Yes,Yes,Yes
2023-05-30,833447,Yes,Yes,Yes,Yes,Yes,No,Yes
2023-11-28,805995,Yes,Yes,Yes,Yes,Yes,Yes,Yes
2023-07-28,684492,Yes,Yes,Yes,Yes,Yes,Yes,Yes
2022-12-27,969104,Yes,Yes,Yes,Yes,Yes,Yes,Yes
2023-05-01,610841,Yes,Yes,Yes,Yes,Yes,Yes,Yes
2022-09-05,147795,Yes,Yes,Yes,Yes,Yes,Yes,Yes
2022-08-02,915260,Yes,Yes,Yes,Yes,Yes,Yes,Yes
2023-11-28,969104,Yes,Yes,Yes,Yes,Yes,Yes,Yes
2023-08-11,725173,Yes,Yes,Yes,Yes,Yes,Yes,Yes
2022-06-07,965360,Yes,Yes,Yes,Yes,Yes,Yes,Yes
2024-07-24,842083,Yes,Yes,Yes,Yes,Yes,Yes,Yes
2022-04-23,610841,Yes,Yes,Yes,Yes,Yes,Yes,Yes
2022-08-26,385905,Yes,Yes,Yes,Yes,Yes,Yes,Yes
2023-02-06,669128,Yes,Yes,Yes,Yes,Yes,Yes,Yes
2024-04-27,639369,Yes,Yes,Yes,Yes,Yes,Yes,Yes
2024-07-10,805995,Yes,Yes,Yes,Yes,Yes,Yes,Yes
2024-07-03,842083,Yes,Yes,Yes,Yes,Yes,Yes,Yes
2023-01-11,725173,Yes,Yes,Yes,Yes,Yes,Yes,Yes
2022-06-16,834169,Yes,Yes,Yes,Yes,Yes,Yes,Yes
2024-05-23,793668,Yes,Yes,Yes,Yes,Yes,Yes,Yes
2024-10-02,669128,Yes,Yes,Yes,Yes,Yes,Yes,Yes
2022-02-17,761087,Yes,Yes,Yes,Yes,Yes,Yes,Yes
2023-09-12,376342,Yes,Yes,Yes,Yes,Yes,Yes,Yes
2023-12-09,730082,Yes,Yes,Yes,Yes,Yes,No,Yes
2022-11-26,610841,Yes,Yes,Yes,Yes,Yes,Yes,Yes
2024-03-13,761087,Yes,Yes,Yes,Yes,Yes,Yes,Yes
2022-01-22,793668,Yes,Yes,Yes,Yes,Yes,Yes,Yes
2022-11-20,679149,Yes,Yes,Yes,Yes,Yes,Yes,Yes
2023-02-02,124266,Yes,Yes,Yes,Yes,Yes,Yes,Yes
2022-10-12,669128,Yes,Yes,Yes,Yes,Yes,Yes,Yes
2022-07-19,915260,Yes,Yes,Yes,Yes,Yes,Yes,Yes
2022-11-05,104015,Yes,Yes,Yes,Yes,Yes,Yes,Yes
2024-01-30,147795,Yes,No,Yes,Yes,Yes,Yes,Yes
2023-09-12,669128,Yes,Yes,Yes,Yes,Yes,Yes,Yes
2024-10-21,730082,Yes,Yes,Yes,Yes,Yes,Yes,Yes
2024-02-23,376747,Yes,No,Yes,Yes,Yes,Yes,Yes
2023-01-25,202921,Yes,Yes,Yes,Yes,Yes,Yes,Yes
2023-09-06,376342,Yes,Yes,Yes,Yes,Yes,Yes,Yes
2023-08-27,842083,Yes,Yes,No,Yes,Yes,Yes,Yes
2023-06-13,834169,Yes,Yes,Yes,No,Yes,Yes,Yes
2023-07-30,755796,Yes,Yes,Yes,Yes,Yes,Yes,Yes
2023-11-25,257344,Yes,Yes,Yes,Yes,Yes,Yes,Yes
2023-02-12,969104,Yes,Yes,Yes,No,Yes,Yes,Yes
2024-01-14,257344,Yes,Yes,Yes,Yes,Yes,Yes,Yes
2022-08-03,498289,Yes,Yes,Yes,Yes,Yes,Yes,Yes
2023-06-17,975958,Yes,Yes,Yes,Yes,Yes,Yes,Yes
2023-08-23,332153,Yes,Yes,Yes,Yes,Yes,Yes,Yes
2022-06-28,833447,Yes,Yes,Yes,Yes,Yes,Yes,Yes
2022-08-17,491934,Yes,Yes,Yes,Yes,Yes,Yes,Yes
2024-07-15,679149,Yes,Yes,Yes,Yes,Yes,Yes,Yes
2022-09-24,669128,Yes,Yes,Yes,Yes,Yes,Yes,Yes
2022-11-01,725173,Yes,Yes,Yes,Yes,Yes,Yes,Yes
2023-03-21,610841,Yes,Yes,Yes,Yes,Yes,Yes,Yes
2023-10-17,417866,Yes,Yes,Yes,Yes,Yes,Yes,Yes
2024-10-01,833447,Yes,Yes,Yes,Yes,Yes,Yes,Yes
2023-10-22,761087,Yes,Yes,Yes,Yes,Yes,Yes,Yes
2023-05-12,730082,Yes,Yes,Yes,No,Yes,Yes,Yes
2022-06-14,603843,Yes,Yes,Yes,Yes,Yes,Yes,Yes
2022-12-30,459040,Yes,Yes,Yes,Yes,Yes,Yes,Yes
2024-10-10,969104,Yes,Yes,Yes,Yes,Yes,Yes,Yes
2023-08-10,284331,Yes,Yes,Yes,Yes,Yes,Yes,Yes
2023-11-12,563945,Yes,Yes,Yes,Yes,Yes,Yes,Yes
2023-10-06,202921,Yes,Yes,Yes,Yes,Yes,Yes,Yes
2023-09-22,124266,Yes,Yes,Yes,Yes,Yes,Yes,Yes
2024-07-05,603843,Yes,Yes,Yes,Yes,Yes,Yes,Yes
2022-09-17,969104,Yes,Yes,Yes,Yes,Yes,Yes,Yes
2023-09-29,563945,Yes,Yes,Yes,Yes,Yes,Yes,Yes
2022-06-06,498289,Yes,Yes,Yes,Yes,Yes,Yes,Yes
2024-10-19,459040,Yes,Yes,Yes,Yes,Yes,Yes,Yes
2022-03-29,610841,Yes,Yes,Yes,Yes,Yes,Yes,Yes
2022-11-29,755796,Yes,Yes,Yes,Yes,Yes,Yes,Yes
2023-02-23,725173,Yes,Yes,Yes,Yes,Yes,Yes,Yes
2024-09-07,755796,Yes,Yes,Yes,Yes,Yes,Yes,Yes
2023-06-15,133960,Yes,Yes,Yes,Yes,Yes,Yes,Yes
2024-05-14,852208,Yes,Yes,Yes,Yes,No,Yes,Yes
2024-10-16,124266,Yes,Yes,Yes,Yes,Yes,Yes,Yes
2023-04-10,563945,Yes,Yes,Yes,Yes,Yes,Yes,Yes
2022-10-08,975958,Yes,Yes,Yes,No,Yes,Yes,Yes
2022-10-03,969104,Yes,Yes,Yes,Yes,Yes,Yes,Yes
2024-11-04,271604,Yes,Yes,Yes,Yes,Yes,Yes,Yes
2024-12-22,202921,No,Yes,Yes,Yes,Yes,Yes,Yes
2024-02-27,965360,Yes,Yes,Yes,Yes,Yes,Yes,Yes
2023-08-27,669128,Yes,Yes,Yes,Yes,Yes,Yes,Yes
2024-05-19,725173,Yes,Yes,Yes,Yes,Yes,Yes,Yes
2024-08-25,104015,Yes,Yes,Yes,Yes,Yes,Yes,Yes
2024-06-30,563945,Yes,Yes,Yes,Yes,Yes,Yes,Yes
2022-09-27,915260,Yes,Yes,Yes,Yes,Yes,Yes,Yes
2024-01-18,852208,Yes,Yes,Yes,Yes,Yes,Yes,Yes
2024-01-10,740803,Yes,Yes,Yes,Yes,Yes,Yes,Yes
2024-12-25,376342,Yes,Yes,Yes,Yes,Yes,Yes,Yes
2023-07-09,376747,Yes,Yes,Yes,Yes,Yes,Yes,Yes
2022-06-24,124266,Yes,Yes,Yes,Yes,Yes,Yes,Yes
2023-08-31,755796,Yes,Yes,No,Yes,Yes,Yes,Yes
2022-08-30,376342,Yes,Yes,Yes,Yes,Yes,Yes,Yes
2022-01-18,833447,Yes,Yes,Yes,Yes,Yes,Yes,No
2022-12-27,417866,Yes,Yes,Yes,Yes,Yes,Yes,Yes
2022-12-22,684492,Yes,Yes,Yes,Yes,Yes,Yes,Yes
2022-10-17,284331,Yes,Yes,Yes,Yes,Yes,Yes,Yes
2023-02-25,805995,No,Yes,Yes,Yes,Yes,Yes,Yes
2024-12-16,834169,Yes,Yes,Yes,Yes,Yes,Yes,Yes
2023-06-28,124266,Yes,Yes,Yes,Yes,Yes,Yes,Yes
2022-04-24,202921,Yes,Yes,No,Yes,Yes,Yes,Yes
2022-10-15,842083,Yes,Yes,Yes,Yes,Yes,Yes,No
2024-04-19,834169,Yes,Yes,Yes,Yes,Yes,Yes,Yes
2024-01-11,761087,Yes,Yes,Yes,Yes,Yes,Yes,Yes
2024-04-18,833447,No,Yes,Yes,Yes,Yes,Yes,Yes
2023-07-25,927199,Yes,Yes,Yes,Yes,Yes,Yes,Yes
2022-01-15,842083,Yes,Yes,Yes,Yes,Yes,Yes,Yes
2023-06-20,852208,Yes,Yes,Yes,Yes,Yes,Yes,Yes
2022-09-11,459040,Yes,Yes,Yes,Yes,Yes,Yes,Yes
2023-10-09,603843,Yes,Yes,Yes,Yes,Yes,Yes,Yes
2022-11-20,133960,Yes,Yes,Yes,Yes,Yes,Yes,Yes
2023-11-01,805995,Yes,Yes,Yes,Yes,Yes,No,Yes
2022-12-26,852208,Yes,Yes,Yes,Yes,Yes,Yes,Yes
2022-02-13,133960,No,Yes,Yes,Yes,Yes,Yes,Yes
2022-08-22,965360,Yes,Yes,No,Yes,Yes,Yes,Yes
2024-10-24,104015,Yes,Yes,Yes,Yes,Yes,Yes,Yes
2022-10-22,639369,Yes,Yes,Yes,Yes,Yes,Yes,Yes
2024-12-23,603843,Yes,Yes,Yes,Yes,Yes,Yes,Yes
2022-11-28,793668,Yes,Yes,Yes,Yes,Yes,Yes,Yes
2023-03-06,284331,Yes,Yes,Yes,Yes,Yes,Yes,Yes
2022-01-09,459040,Yes,Yes,Yes,Yes,Yes,Yes,Yes
2022-04-30,679149,Yes,Yes,Yes,No,Yes,Yes,Yes
2024-05-29,927199,Yes,Yes,Yes,Yes,Yes,Yes,Yes
2023-05-23,124266,Yes,Yes,Yes,Yes,Yes,No,Yes
2022-01-10,755796,Yes,Yes,Yes,Yes,Yes,Yes,Yes
2022-11-14,684492,Yes,Yes,Yes,Yes,Yes,Yes,Yes
2024-06-23,725173,Yes,Yes,Yes,Yes,Yes,Yes,Yes
2022-06-05,603843,Yes,Yes,Yes,Yes,Yes,Yes,Yes
2023-02-14,679149,Yes,Yes,Yes,Yes,Yes,Yes,Yes
2023-02-13,834169,Yes,Yes,Yes,Yes,Yes,Yes,Yes
2024-08-25,730082,Yes,Yes,Yes,Yes,Yes,Yes,Yes
2023-07-06,124266,Yes,Yes,Yes,Yes,Yes,Yes,Yes
2023-04-05,417866,Yes,Yes,Yes,Yes,Yes,Yes,Yes
2024-09-21,740803,Yes,Yes,Yes,Yes,Yes,Yes,Yes
2023-08-29,669128,Yes,Yes,Yes,Yes,Yes,Yes,Yes
2023-12-04,669128,No,Yes,Yes,Yes,Yes,Yes,Yes
2024-04-24,725173,Yes,Yes,Yes,Yes,Yes,Yes,Yes
2024-12-19,755796,Yes,Yes,Yes,Yes,Yes,Yes,Yes
2024-01-29,147795,Yes,Yes,Yes,Yes,Yes,Yes,Yes
2022-07-22,491934,Yes,Yes,Yes,Yes,Yes,Yes,Yes
2023-09-06,202921,Yes,Yes,Yes,Yes,Yes,Yes,Yes
2023-04-30,610841,Yes,Yes,Yes,Yes,Yes,Yes,Yes
2023-06-22,563945,Yes,Yes,Yes,Yes,Yes,Yes,Yes
2024-11-21,842083,Yes,Yes,No,Yes,Yes,Yes,Yes
2022-10-03,842083,Yes,Yes,Yes,Yes,Yes,No,Yes
2022-01-15,684492,Yes,Yes,Yes,Yes,No,No,Yes
2024-01-20,147795,Yes,Yes,Yes,Yes,Yes,Yes,Yes
2024-09-02,852208,Yes,Yes,No,Yes,Yes,Yes,Yes
2024-09-12,842083,Yes,Yes,Yes,Yes,Yes,Yes,Yes
2022-06-14,385905,Yes,Yes,Yes,Yes,Yes,Yes,Yes
2023-08-17,965360,Yes,Yes,Yes,Yes,Yes,Yes,Yes
2022-09-23,927199,Yes,Yes,Yes,Yes,Yes,Yes,Yes
2022-10-21,124266,Yes,Yes,Yes,Yes,Yes,Yes,Yes
2022-09-01,679149,Yes,Yes,Yes,Yes,Yes,Yes,Yes
2024-06-06,969104,Yes,Yes,Yes,Yes,Yes,Yes,Yes
2022-08-08,833447,Yes,Yes,Yes,Yes,Yes,Yes,Yes
2022-12-09,417866,Yes,Yes,Yes,Yes,Yes,Yes,Yes
2024-12-08,133960,Yes,Yes,Yes,Yes,Yes,Yes,Yes
2024-10-24,459040,Yes,Yes,Yes,Yes,Yes,Yes,Yes
2023-12-19,852208,Yes,Yes,Yes,Yes,Yes,Yes,Yes
2022-08-20,740803,Yes,Yes,Yes,Yes,Yes,Yes,Yes
2024-05-23,915260,Yes,Yes,Yes,Yes,Yes,Yes,Yes
2022-02-06,730082,Yes,Yes,Yes,Yes,Yes,Yes,Yes
2023-05-10,975958,Yes,Yes,Yes,Yes,Yes,Yes,Yes
2024-07-11,124266,Yes,Yes,Yes,Yes,Yes,Yes,Yes
2024-07-28,805995,Yes,Yes,Yes,Yes,Yes,Yes,Yes
2022-07-17,498289,Yes,Yes,Yes,Yes,Yes,Yes,Yes
2023-09-08,459040,Yes,Yes,Yes,Yes,Yes,Yes,Yes
2022-04-05,684492,Yes,Yes,No,Yes,Yes,Yes,Yes
2024-05-14,639369,Yes,Yes,Yes,Yes,Yes,Yes,Yes
2022-07-05,747240,Yes,Yes,Yes,Yes,Yes,Yes,Yes
2024-05-10,725173,Yes,Yes,Yes,Yes,Yes,Yes,Yes
2022-07-05,842083,Yes,Yes,Yes,Yes,Yes,Yes,Yes
2024-01-06,563945,Yes,Yes,Yes,Yes,Yes,Yes,Yes
2024-08-31,927199,Yes,Yes,Yes,Yes,Yes,Yes,Yes
2022-02-20,385905,Yes,Yes,Yes,Yes,Yes,Yes,Yes
2023-03-19,842083,Yes,Yes,Yes,Yes,Yes,Yes,Yes
2022-02-22,376747,Yes,Yes,Yes,Yes,Yes,Yes,Yes
2023-11-07,833447,Yes,Yes,Yes,Yes,Yes,Yes,Yes
2022-02-24,833447,Yes,Yes,Yes,Yes,Yes,Yes,Yes
2024-04-21,834169,Yes,Yes,Yes,Yes,Yes,Yes,Yes
2024-12-10,730082,Yes,Yes,Yes,Yes,Yes,Yes,Yes
2023-07-08,271604,No,Yes,Yes,Yes,Yes,Yes,Yes
2024-02-20,603843,Yes,Yes,Yes,Yes,Yes,Yes,Yes
2022-11-28,639369,Yes,Yes,Yes,Yes,Yes,Yes,Yes
2023-01-22,915260,Yes,Yes,Yes,Yes,Yes,Yes,Yes
2022-11-23,755796,Yes,Yes,Yes,Yes,Yes,Yes,Yes
2022-05-12,104015,Yes,Yes,Yes,Yes,Yes,Yes,Yes
2022-01-06,610841,Yes,Yes,Yes,Yes,Yes,Yes,Yes
