outbound_date,order_id,customer_id,product_id,ordered_qty,picked_qty,pick_sheet_issued_time,pick_completed_time,vehicle_no,loading_completed_time
2024-09-07,ORD00034,CUST048,365218,991,991,22:22:00,23:11:00,915260,23:46:00
2023-09-02,ORD00035,CUST022,492320,58,58,21:46:00,22:18:00,725173,22:57:00
2022-09-29,ORD00036,CUST050,288308,84,84,22:29:00,23:25:00,332153,23:56:00
2024-06-22,ORD00037,CUST023,726426,78,78,22:52:00,23:22:00,833447,23:46:00
2023-09-11,ORD00038,CUST055,575671,595,469,21:08:00,22:20:00,975958,22:40:00
2024-01-01,ORD00039,CUST040,540579,350,350,22:13:00,23:43:00,679149,00:14:00
2023-05-28,ORD00040,CUST033,327678,497,497,21:54:00,22:36:00,965360,22:59:00
2022-07-15,ORD00041,CUST015,938736,291,291,23:27:00,00:34:00,669128,00:58:00
2022-09-22,ORD00042,CUST080,762474,434,434,21:03:00,22:19:00,915260,22:54:00
2023-08-03,ORD00043,CUST031,288308,942,942,23:35:00,00:10:00,761087,00:47:00
2024-07-27,ORD00044,CUST031,650911,130,130,22:07:00,22:38:00,740803,23:00:00
2024-08-14,ORD00045,CUST029,569958,506,506,22:07:00,23:36:00,417866,00:00:00
2023-10-29,ORD00046,CUST047,202739,934,934,23:04:00,23:56:00,805995,00:16:00
2022-10-06,ORD00047,CUST026,921117,825,825,21:32:00,22:20:00,755796,23:00:00
2023-12-24,ORD00048,CUST010,649807,627,627,22:00:00,22:39:00,755796,23:08:00
2022-04-27,ORD00049,CUST098,849391,530,530,21:55:00,23:11:00,271604,23:44:00
2022-02-22,ORD00050,CUST050,463834,626,626,21:02:00,21:36:00,639369,22:14:00
2024-08-27,ORD00051,CUST053,807978,596,596,22:45:00,23:34:00,679149,00:02:00
2024-07-02,ORD00052,CUST017,859028,41,41,21:33:00,22:10:00,725173,22:42:00
2022-06-02,ORD00053,CUST052,370562,480,480,23:29:00,00:57:00,669128,01:26:00
2024-09-21,ORD00054,CUST098,884460,522,522,21:11:00,22:10:00,755796,22:44:00
2023-04-20,ORD00055,CUST091,142044,550,550,22:42:00,00:01:00,747240,00:28:00
2023-02-18,ORD00056,CUST056,671414,37,37,23:54:00,00:58:00,834169,01:27:00
2022-10-29,ORD00057,CUST090,699969,804,804,22:58:00,23:32:00,603843,00:08:00
2023-05-24,ORD00058,CUST014,136260,671,671,23:21:00,00:22:00,498289,01:01:00
2023-12-23,ORD00059,CUST075,551060,481,481,23:43:00,01:04:00,563945,01:30:00
2024-05-08,ORD00060,CUST013,413053,775,775,21:26:00,22:36:00,202921,23:06:00
2024-11-06,ORD00061,CUST047,120686,35,35,21:18:00,21:56:00,755796,22:22:00
2024-09-10,ORD00062,CUST097,918625,197,197,22:54:00,00:23:00,725173,00:44:00
2022-04-02,ORD00063,CUST010,401985,61,61,21:00:00,22:06:00,459040,22:34:00
2022-06-25,ORD00064,CUST093,885471,724,724,21:19:00,22:35:00,498289,23:09:00
2023-12-05,ORD00065,CUST017,234470,64,64,22:18:00,23:16:00,755796,23:45:00
2024-12-19,ORD00066,CUST001,334124,377,377,21:17:00,22:12:00,805995,22:40:00
2024-10-28,ORD00067,CUST083,678974,81,81,23:36:00,00:51:00,104015,01:28:00
2023-12-28,ORD00068,CUST096,183454,612,612,22:49:00,23:50:00,376747,00:26:00
2024-03-30,ORD00069,CUST057,272473,89,89,21:31:00,22:43:00,725173,23:10:00
2023-08-28,ORD00070,CUST062,602699,832,832,21:28:00,22:30:00,124266,22:53:00
2024-05-07,ORD00071,CUST037,295634,887,887,23:04:00,00:29:00,684492,00:55:00
2024-07-22,ORD00072,CUST065,469613,310,310,22:32:00,23:04:00,202921,23:35:00
2022-08-27,ORD00073,CUST026,155245,583,583,23:18:00,00:41:00,385905,01:12:00
2022-05-02,ORD00074,CUST055,301883,715,715,22:36:00,23:49:00,740803,00:22:00
2024-01-21,ORD00075,CUST013,824234,579,579,22:23:00,22:55:00,610841,23:17:00
2023-09-18,ORD00076,CUST089,468928,941,941,21:14:00,22:02:00,852208,22:38:00
2023-05-21,ORD00077,CUST028,783660,759,759,21:06:00,22:19:00,915260,22:57:00
2022-04-06,ORD00078,CUST030,851805,84,84,22:56:00,23:51:00,124266,00:17:00
2023-02-01,ORD00079,CUST060,470428,360,360,22:51:00,00:08:00,610841,00:48:00
2022-08-22,ORD00080,CUST016,747939,456,456,23:03:00,00:28:00,133960,01:05:00
2023-08-05,ORD00081,CUST074,318200,415,415,22:51:00,23:29:00,332153,00:03:00
2024-07-17,ORD00082,CUST059,160969,145,145,21:38:00,22:28:00,498289,22:54:00
2024-06-24,ORD00083,CUST092,637304,291,291,22:20:00,23:13:00,684492,23:36:00
2024-04-15,ORD00084,CUST067,272473,237,237,22:47:00,00:09:00,842083,00:35:00
2022-08-01,ORD00085,CUST006,859028,689,689,21:06:00,22:18:00,833447,22:46:00
2022-03-01,ORD00086,CUST030,296533,50,50,22:50:00,23:49:00,491934,00:20:00
2024-04-08,ORD00087,CUST033,932317,844,844,23:55:00,00:36:00,417866,01:15:00
2023-07-28,ORD00088,CUST028,288681,524,524,22:40:00,23:10:00,147795,23:38:00
2022-07-12,ORD00089,CUST045,432548,404,404,23:41:00,00:46:00,915260,01:07:00
2022-03-05,ORD00090,CUST051,110895,49,49,23:36:00,00:51:00,833447,01:13:00
2022-04-11,ORD00091,CUST067,963990,957,957,23:18:00,23:49:00,603843,00:24:00
2023-06-01,ORD00092,CUST092,596864,819,819,21:22:00,22:08:00,417866,22:32:00
2023-04-21,ORD00093,CUST085,579866,665,665,23:41:00,00:45:00,376342,01:07:00
2024-10-23,ORD00094,CUST093,942983,308,308,22:41:00,23:48:00,133960,00:08:00
2024-02-11,ORD00095,CUST027,843194,876,876,23:35:00,00:34:00,965360,01:04:00
2023-06-30,ORD00096,CUST080,598283,247,247,22:34:00,23:51:00,459040,00:27:00
2023-02-11,ORD00097,CUST092,737717,436,436,22:50:00,23:31:00,417866,00:08:00
2023-01-18,ORD00098,CUST021,342022,352,352,21:27:00,22:05:00,740803,22:28:00
2024-06-13,ORD00099,CUST026,409447,736,736,23:44:00,00:21:00,104015,01:01:00
2024-02-13,ORD00100,CUST018,694395,284,257,23:11:00,00:01:00,610841,00:25:00
2023-08-12,ORD00101,CUST024,573881,203,203,21:26:00,22:18:00,793668,22:43:00
2023-01-08,ORD00102,CUST017,257075,930,930,23:17:00,00:31:00,915260,00:55:00
2023-05-08,ORD00103,CUST022,154183,107,107,23:10:00,23:55:00,133960,00:27:00
2022-03-18,ORD00104,CUST034,576263,82,82,22:49:00,00:09:00,603843,00:32:00
2024-04-16,ORD00105,CUST008,944462,108,108,23:15:00,00:41:00,271604,01:21:00
2023-03-28,ORD00106,CUST066,808175,639,639,23:20:00,00:41:00,202921,01:06:00
2024-10-22,ORD00107,CUST001,922686,752,752,21:15:00,22:30:00,669128,22:55:00
2024-04-29,ORD00108,CUST026,699969,44,44,22:31:00,23:25:00,965360,23:49:00
2023-09-11,ORD00109,CUST084,117483,888,888,22:09:00,23:25:00,679149,00:04:00
2022-09-20,ORD00110,CUST072,535525,90,90,22:23:00,23:07:00,271604,23:29:00
2022-09-18,ORD00111,CUST059,210772,973,973,21:17:00,22:28:00,684492,23:01:00
2023-02-05,ORD00112,CUST051,599775,967,967,21:42:00,23:01:00,969104,23:34:00
2024-12-21,ORD00113,CUST021,421354,862,862,22:04:00,22:44:00,376342,23:12:00
2023-10-27,ORD00114,CUST046,596104,220,220,23:41:00,00:29:00,133960,01:00:00
2023-10-22,ORD00115,CUST030,536149,908,908,23:36:00,01:01:00,147795,01:22:00
2022-08-09,ORD00116,CUST002,835091,921,921,23:03:00,00:03:00,740803,00:23:00
2023-01-15,ORD00117,CUST036,310031,422,422,22:02:00,23:18:00,747240,23:46:00
2024-12-26,ORD00118,CUST091,492320,165,165,22:16:00,23:13:00,202921,23:50:00
2022-04-13,ORD00119,CUST000,687888,689,689,21:10:00,21:41:00,147795,22:02:00
2023-09-08,ORD00120,CUST036,336238,781,781,23:31:00,00:34:00,610841,01:07:00
2023-08-11,ORD00121,CUST049,370562,861,861,23:49:00,00:56:00,747240,01:16:00
2022-07-22,ORD00122,CUST080,374401,173,173,22:11:00,23:11:00,679149,23:41:00
2024-01-19,ORD00123,CUST066,925426,578,578,23:44:00,00:40:00,147795,01:10:00
2022-08-04,ORD00124,CUST006,183454,943,943,21:38:00,22:59:00,975958,23:30:00
2024-07-27,ORD00125,CUST016,567970,491,491,22:38:00,23:26:00,761087,23:53:00
2023-02-09,ORD00126,CUST031,470894,971,971,23:16:00,00:29:00,257344,01:02:00
2022-11-19,ORD00127,CUST023,197637,169,169,23:34:00,00:05:00,975958,00:38:00
2023-07-12,ORD00128,CUST072,545753,532,532,22:04:00,22:35:00,730082,23:02:00
2023-08-08,ORD00129,CUST088,231289,472,472,22:51:00,23:26:00,852208,23:50:00
2023-04-21,ORD00130,CUST055,791453,95,95,22:39:00,23:22:00,257344,23:44:00
2022-06-27,ORD00131,CUST097,469375,999,999,23:38:00,00:41:00,147795,01:14:00
2022-04-02,ORD00132,CUST061,295711,758,758,23:05:00,00:22:00,852208,00:56:00
2023-01-11,ORD00133,CUST039,376906,307,307,22:37:00,23:14:00,965360,23:37:00
2022-12-06,ORD00134,CUST061,308829,458,458,23:27:00,00:16:00,805995,00:38:00
2023-02-04,ORD00135,CUST051,552123,530,530,22:17:00,23:45:00,725173,00:09:00
2023-05-23,ORD00136,CUST060,843194,308,308,22:03:00,23:15:00,927199,23:54:00
2023-01-25,ORD00137,CUST083,452776,776,776,23:27:00,00:09:00,133960,00:34:00
2022-12-12,ORD00138,CUST020,135686,21,21,23:57:00,00:43:00,747240,01:22:00
2023-09-01,ORD00139,CUST057,336238,664,664,21:19:00,22:48:00,417866,23:18:00
2024-03-13,ORD00140,CUST045,317997,210,210,22:10:00,22:53:00,610841,23:23:00
2023-07-27,ORD00141,CUST014,144289,776,776,23:00:00,00:26:00,385905,00:46:00
2023-01-16,ORD00142,CUST032,550204,569,569,22:16:00,23:44:00,975958,00:20:00
2022-06-28,ORD00143,CUST037,351753,577,577,23:03:00,23:38:00,284331,23:58:00
2022-01-12,ORD00144,CUST065,125091,731,731,21:02:00,21:49:00,965360,22:18:00
2023-10-27,ORD00145,CUST078,654295,328,328,23:05:00,23:57:00,498289,00:33:00
2024-03-07,ORD00146,CUST051,683225,505,505,23:04:00,23:51:00,124266,00:27:00
2023-08-30,ORD00147,CUST071,108716,106,106,22:57:00,00:00:00,969104,00:31:00
2022-12-20,ORD00148,CUST094,866844,374,374,23:38:00,00:34:00,332153,01:11:00
2024-08-22,ORD00149,CUST087,938845,939,939,23:11:00,00:33:00,747240,00:58:00
2024-08-24,ORD00150,CUST046,259331,21,21,23:45:00,00:36:00,491934,01:07:00
2022-05-15,ORD00151,CUST047,262379,146,146,23:05:00,23:42:00,284331,00:19:00
2022-05-05,ORD00152,CUST027,825851,976,976,22:45:00,23:50:00,969104,00:25:00
2024-01-04,ORD00153,CUST014,883896,321,321,22:08:00,23:23:00,927199,23:55:00
2024-10-16,ORD00154,CUST069,243285,481,481,21:33:00,22:10:00,459040,22:39:00
2022-06-05,ORD00155,CUST042,787587,503,503,23:19:00,00:48:00,761087,01:27:00
2023-09-17,ORD00156,CUST036,580640,369,369,22:00:00,23:06:00,684492,23:34:00
2023-10-10,ORD00157,CUST012,932317,417,417,22:42:00,23:57:00,417866,00:37:00
2023-05-25,ORD00158,CUST088,153566,791,791,22:02:00,22:37:00,669128,23:07:00
2024-05-26,ORD00159,CUST032,251652,268,268,21:28:00,22:24:00,852208,22:57:00
2024-08-26,ORD00160,CUST086,753811,755,755,21:44:00,23:07:00,459040,23:39:00
2024-08-07,ORD00161,CUST006,922686,532,532,23:18:00,00:48:00,147795,01:15:00
2024-05-09,ORD00162,CUST069,202337,836,836,21:03:00,21:47:00,491934,22:26:00
2024-03-08,ORD00163,CUST067,431677,476,476,23:33:00,00:03:00,969104,00:32:00
2023-03-15,ORD00164,CUST014,910818,506,506,22:48:00,23:26:00,124266,00:02:00
2024-08-27,ORD00165,CUST006,581157,506,506,22:51:00,23:47:00,459040,00:20:00
2022-06-26,ORD00166,CUST018,655629,179,179,22:26:00,23:14:00,730082,23:34:00
2023-10-06,ORD00167,CUST038,853672,965,965,23:32:00,00:07:00,385905,00:44:00
2024-03-29,ORD00168,CUST037,490601,367,367,22:00:00,22:30:00,133960,23:05:00
2023-09-16,ORD00169,CUST038,645680,435,435,21:45:00,23:00:00,610841,23:28:00
2022-10-31,ORD00170,CUST088,879341,920,920,21:26:00,22:52:00,852208,23:21:00
2024-05-26,ORD00171,CUST034,880654,259,259,23:38:00,01:05:00,975958,01:28:00
2023-02-11,ORD00172,CUST049,255362,670,670,22:17:00,23:30:00,833447,00:08:00
2024-08-02,ORD00173,CUST071,352569,253,253,22:22:00,22:59:00,755796,23:36:00
2023-05-17,ORD00174,CUST002,609852,627,627,23:31:00,00:25:00,834169,00:50:00
2024-09-14,ORD00175,CUST067,656432,167,167,21:33:00,22:18:00,740803,22:57:00
2024-11-15,ORD00176,CUST068,963152,170,170,21:38:00,23:01:00,133960,23:40:00
2023-12-27,ORD00177,CUST029,565040,837,837,22:42:00,23:16:00,563945,23:52:00
2022-11-16,ORD00178,CUST054,795085,266,266,21:12:00,22:09:00,563945,22:35:00
2023-05-30,ORD00179,CUST060,850446,729,729,21:36:00,22:24:00,833447,22:55:00
2023-11-28,ORD00180,CUST033,680105,690,178,23:51:00,00:38:00,805995,01:10:00
2023-07-28,ORD00181,CUST090,938002,29,29,23:43:00,00:52:00,684492,01:22:00
2022-12-27,ORD00182,CUST093,173474,605,605,21:51:00,22:28:00,969104,23:02:00
2023-05-01,ORD00183,CUST045,454234,239,239,23:57:00,00:44:00,610841,01:04:00
2022-09-05,ORD00184,CUST050,328867,743,743,21:13:00,21:47:00,147795,22:16:00
2022-08-02,ORD00185,CUST016,350897,898,898,21:44:00,22:56:00,915260,23:33:00
2023-11-28,ORD00186,CUST022,255362,791,791,21:22:00,22:06:00,969104,22:40:00
2023-08-11,ORD00187,CUST007,660596,517,479,23:57:00,01:09:00,725173,01:37:00
2022-06-07,ORD00188,CUST005,864680,188,188,23:17:00,00:43:00,965360,01:10:00
2024-07-24,ORD00189,CUST036,675162,775,775,21:13:00,21:49:00,842083,22:18:00
2022-04-23,ORD00190,CUST016,372197,238,238,23:45:00,00:46:00,610841,01:16:00
2022-08-26,ORD00191,CUST054,982035,33,33,22:53:00,00:05:00,385905,00:41:00
2023-02-06,ORD00192,CUST092,764263,341,341,21:16:00,22:05:00,669128,22:35:00
2024-04-27,ORD00193,CUST020,530915,593,593,22:58:00,00:16:00,639369,00:47:00
2024-07-10,ORD00194,CUST083,495972,789,789,22:51:00,23:22:00,805995,00:01:00
2024-07-03,ORD00195,CUST020,106312,569,569,21:13:00,22:37:00,842083,23:00:00
2023-01-11,ORD00196,CUST066,611471,556,556,23:57:00,00:47:00,725173,01:24:00
2022-06-16,ORD00197,CUST046,741030,788,788,22:14:00,23:19:00,834169,23:42:00
2024-05-23,ORD00198,CUST053,492320,405,405,21:22:00,22:39:00,793668,23:12:00
2024-10-02,ORD00199,CUST035,403034,34,34,23:27:00,00:21:00,669128,00:49:00
2022-02-17,ORD00200,CUST038,135897,701,701,22:03:00,22:38:00,761087,23:11:00
2023-09-12,ORD00201,CUST020,679022,515,515,23:32:00,00:37:00,376342,01:05:00
2023-12-09,ORD00202,CUST093,918625,164,164,21:53:00,22:35:00,730082,23:03:00
2022-11-26,ORD00203,CUST043,772299,301,301,21:15:00,21:45:00,610841,22:22:00
2024-03-13,ORD00204,CUST007,838349,920,920,22:15:00,23:04:00,761087,23:26:00
2022-01-22,ORD00205,CUST066,492320,669,669,23:47:00,00:19:00,793668,00:41:00
2022-11-20,ORD00206,CUST085,685718,228,40,23:56:00,01:08:00,679149,01:31:00
2023-02-02,ORD00207,CUST050,548275,496,496,23:37:00,00:48:00,124266,01:18:00
2022-10-12,ORD00208,CUST015,776325,528,528,22:16:00,23:05:00,669128,23:44:00
2022-07-19,ORD00209,CUST034,171553,740,740,22:00:00,23:29:00,915260,23:55:00
2022-11-05,ORD00210,CUST037,251652,251,251,21:08:00,22:05:00,104015,22:42:00
2024-01-30,ORD00211,CUST030,859651,149,149,21:50:00,22:40:00,147795,23:12:00
2023-09-12,ORD00212,CUST006,935509,657,657,21:39:00,23:09:00,669128,23:31:00
2024-10-21,ORD00213,CUST011,982201,631,631,21:29:00,22:29:00,730082,22:57:00
2024-02-23,ORD00214,CUST089,862534,531,531,23:21:00,00:44:00,376747,01:20:00
2023-01-25,ORD00215,CUST065,393171,946,946,22:40:00,23:23:00,202921,00:02:00
2023-09-06,ORD00216,CUST090,416170,928,928,23:17:00,23:57:00,376342,00:24:00
2023-08-27,ORD00217,CUST035,780239,727,727,21:09:00,22:16:00,842083,22:42:00
2023-06-13,ORD00218,CUST040,690861,245,245,23:17:00,00:12:00,834169,00:46:00
2023-07-30,ORD00219,CUST096,939733,674,674,21:17:00,22:07:00,755796,22:43:00
2023-11-25,ORD00220,CUST059,869681,429,429,23:50:00,00:36:00,257344,00:57:00
2023-02-12,ORD00221,CUST084,918625,809,809,23:00:00,00:06:00,969104,00:45:00
2024-01-14,ORD00222,CUST008,220011,392,392,21:47:00,23:00:00,257344,23:31:00
2022-08-03,ORD00223,CUST066,150615,723,723,21:31:00,22:33:00,498289,22:53:00
2023-06-17,ORD00224,CUST019,214869,456,456,23:58:00,00:50:00,975958,01:12:00
2023-08-23,ORD00225,CUST011,328704,496,496,21:36:00,22:19:00,332153,22:55:00
2022-06-28,ORD00226,CUST058,830868,23,23,23:01:00,00:24:00,833447,00:56:00
2022-08-17,ORD00227,CUST057,713947,120,120,22:22:00,23:07:00,491934,23:44:00
2024-07-15,ORD00228,CUST098,537797,293,293,21:11:00,21:43:00,679149,22:07:00
2022-09-24,ORD00229,CUST097,808175,231,231,22:22:00,23:43:00,669128,00:08:00
2022-11-01,ORD00230,CUST064,748776,186,186,23:43:00,00:20:00,725173,00:50:00
2023-03-21,ORD00231,CUST034,448594,857,857,22:06:00,22:49:00,610841,23:13:00
2023-10-17,ORD00232,CUST024,701473,104,104,21:43:00,22:50:00,417866,23:14:00
2024-10-01,ORD00233,CUST090,167757,586,586,23:47:00,00:32:00,833447,00:59:00
2023-10-22,ORD00234,CUST085,318200,915,915,21:52:00,23:21:00,761087,00:00:00
2023-05-12,ORD00235,CUST015,105964,204,204,23:22:00,00:48:00,730082,01:15:00
2022-06-14,ORD00236,CUST085,902777,206,206,21:05:00,21:55:00,603843,22:35:00
2022-12-30,ORD00237,CUST089,619978,81,81,22:40:00,23:29:00,459040,23:59:00
2024-10-10,ORD00238,CUST056,849747,132,132,21:24:00,22:49:00,969104,23:25:00
2023-08-10,ORD00239,CUST064,862288,196,196,21:34:00,22:46:00,284331,23:24:00
2023-11-12,ORD00240,CUST077,401985,889,889,21:56:00,22:28:00,563945,23:01:00
2023-10-06,ORD00241,CUST001,720239,625,625,21:20:00,22:34:00,202921,23:12:00
2023-09-22,ORD00242,CUST030,248610,871,871,23:08:00,23:41:00,124266,00:02:00
2024-07-05,ORD00243,CUST078,429685,510,510,23:50:00,01:01:00,603843,01:24:00
2022-09-17,ORD00244,CUST078,101021,581,581,22:36:00,23:20:00,969104,23:47:00
2023-09-29,ORD00245,CUST027,949853,944,944,21:47:00,22:43:00,563945,23:22:00
2022-06-06,ORD00246,CUST004,767135,590,590,22:10:00,23:26:00,498289,23:59:00
2024-10-19,ORD00247,CUST087,874508,972,972,21:21:00,21:53:00,459040,22:25:00
2022-03-29,ORD00248,CUST042,649807,924,924,23:46:00,01:01:00,610841,01:34:00
2022-11-29,ORD00249,CUST098,161268,687,687,21:11:00,22:27:00,755796,23:07:00
2023-02-23,ORD00250,CUST023,401985,98,98,22:33:00,23:22:00,725173,23:49:00
2024-09-07,ORD00251,CUST011,403058,544,544,23:27:00,00:55:00,755796,01:16:00
2023-06-15,ORD00252,CUST063,679022,516,516,21:11:00,21:43:00,133960,22:03:00
2024-05-14,ORD00253,CUST000,790966,400,400,21:54:00,23:09:00,852208,23:32:00
2024-10-16,ORD00254,CUST071,568259,141,141,21:50:00,22:33:00,124266,22:55:00
2023-04-10,ORD00255,CUST012,881155,14,14,21:25:00,22:44:00,563945,23:12:00
2022-10-08,ORD00256,CUST096,311135,976,976,21:29:00,22:23:00,975958,22:54:00
2022-10-03,ORD00257,CUST050,282826,492,492,22:00:00,23:22:00,969104,23:58:00
2024-11-04,ORD00258,CUST017,852005,309,309,22:36:00,23:23:00,271604,23:48:00
2024-12-22,ORD00259,CUST011,367929,380,380,23:02:00,00:05:00,202921,00:33:00
2024-02-27,ORD00260,CUST053,889293,997,997,21:39:00,23:00:00,965360,23:34:00
2023-08-27,ORD00261,CUST023,792097,885,885,21:34:00,22:11:00,669128,22:32:00
2024-05-19,ORD00262,CUST093,333270,196,196,22:27:00,23:21:00,725173,23:45:00
2024-08-25,ORD00263,CUST052,371109,53,53,21:17:00,22:37:00,104015,23:03:00
2024-06-30,ORD00264,CUST059,380941,691,691,21:38:00,22:22:00,563945,22:43:00
2022-09-27,ORD00265,CUST039,254537,425,425,22:46:00,23:24:00,915260,23:57:00
2024-01-18,ORD00266,CUST031,752082,623,623,21:03:00,21:57:00,852208,22:30:00
2024-01-10,ORD00267,CUST038,126267,692,692,23:38:00,00:54:00,740803,01:30:00
2024-12-25,ORD00268,CUST000,454234,169,169,23:19:00,00:20:00,376342,00:54:00
2023-07-09,ORD00269,CUST049,539633,709,709,22:07:00,22:57:00,376747,23:25:00
2022-06-24,ORD00270,CUST057,770551,734,734,22:49:00,00:00:00,124266,00:35:00
2023-08-31,ORD00271,CUST096,797620,608,608,22:05:00,23:30:00,755796,23:50:00
2022-08-30,ORD00272,CUST025,154741,16,16,21:03:00,22:12:00,376342,22:36:00
2022-01-18,ORD00273,CUST030,958326,132,132,23:32:00,00:16:00,833447,00:55:00
2022-12-27,ORD00274,CUST033,610235,495,495,22:26:00,23:32:00,417866,23:59:00
2022-12-22,ORD00275,CUST037,123419,123,123,23:22:00,00:37:00,684492,01:17:00
2022-10-17,ORD00276,CUST065,155894,698,698,22:08:00,23:31:00,284331,00:08:00
2023-02-25,ORD00277,CUST005,301883,83,83,21:07:00,22:18:00,805995,22:49:00
2024-12-16,ORD00278,CUST045,251472,516,516,21:03:00,21:57:00,834169,22:17:00
2023-06-28,ORD00279,CUST047,754441,471,471,22:13:00,23:11:00,124266,23:36:00
2022-04-24,ORD00280,CUST012,290750,66,66,21:31:00,22:16:00,202921,22:46:00
2022-10-15,ORD00281,CUST062,393806,888,888,21:19:00,21:52:00,842083,22:26:00
2024-04-19,ORD00282,CUST079,388461,782,782,21:54:00,22:49:00,834169,23:14:00
2024-01-11,ORD00283,CUST056,887004,895,895,22:16:00,23:17:00,761087,23:37:00
2024-04-18,ORD00284,CUST014,757386,609,609,23:18:00,00:24:00,833447,01:01:00
2023-07-25,ORD00285,CUST086,537991,520,520,21:07:00,21:57:00,927199,22:23:00
2022-01-15,ORD00286,CUST095,891288,420,420,23:11:00,23:44:00,842083,00:07:00
2023-06-20,ORD00287,CUST020,295634,883,883,22:13:00,22:45:00,852208,23:11:00
2022-09-11,ORD00288,CUST021,662233,983,671,22:22:00,23:40:00,459040,00:18:00
2023-10-09,ORD00289,CUST013,466611,263,263,22:58:00,23:45:00,603843,00:09:00
2022-11-20,ORD00290,CUST057,635483,21,21,23:58:00,01:16:00,133960,01:49:00
2023-11-01,ORD00291,CUST071,216629,586,50,23:35:00,00:53:00,805995,01:23:00
2022-12-26,ORD00292,CUST042,581157,415,415,21:16:00,21:57:00,852208,22:24:00
2022-02-13,ORD00293,CUST055,839742,906,906,22:18:00,23:08:00,133960,23:48:00
2022-08-22,ORD00294,CUST025,310034,292,292,23:23:00,00:34:00,965360,01:03:00
2024-10-24,ORD00295,CUST057,243285,333,333,21:03:00,21:34:00,104015,22:06:00
2022-10-22,ORD00296,CUST006,604662,523,523,21:39:00,22:15:00,639369,22:54:00
2024-12-23,ORD00297,CUST053,989199,74,74,22:09:00,23:33:00,603843,00:05:00
2022-11-28,ORD00298,CUST098,585758,743,743,23:05:00,00:09:00,793668,00:42:00
2023-03-06,ORD00299,CUST016,656432,500,500,21:36:00,23:05:00,284331,23:41:00
2022-01-09,ORD00300,CUST064,370562,950,85,22:45:00,23:23:00,459040,23:51:00
2022-04-30,ORD00301,CUST080,546962,53,6,22:53:00,00:14:00,679149,00:53:00
